POD,CPU,MEMORY,TIME
front-end-55b89655c7-wdc4r,1m,70Mi,1701777692.1527815
front-end-55b89655c7-wdc4r,41m,65Mi,1701777714.3444424
front-end-55b89655c7-wdc4r,77m,80Mi,1701777736.2683084
front-end-55b89655c7-wdc4r,56m,98Mi,1701777758.3433836
front-end-55b89655c7-wdc4r,59m,104Mi,1701777780.2938812
front-end-55b89655c7-wdc4r,57m,108Mi,1701777802.3922067
front-end-55b89655c7-wdc4r,69m,115Mi,1701777824.5612526
