POD,CPU,MEMORY,TIME
front-end-55b89655c7-9xkgz,1m,70Mi,1701492511.3842888
front-end-55b89655c7-9xkgz,2m,71Mi,1701492533.2955866
front-end-55b89655c7-9xkgz,57m,77Mi,1701492555.1190398
front-end-55b89655c7-9xkgz,56m,77Mi,1701492576.9401937
front-end-55b89655c7-9xkgz,54m,98Mi,1701492598.7613876
front-end-55b89655c7-9xkgz,62m,98Mi,1701492620.6296782
