POD,CPU,MEMORY,TIME
front-end-55b89655c7-zwscm,1m,71Mi,1701446098.7265036
front-end-55b89655c7-zwscm,57m,70Mi,1701446120.8221362
front-end-55b89655c7-zwscm,77m,78Mi,1701446142.9647808
front-end-55b89655c7-zwscm,48m,94Mi,1701446165.1166017
front-end-55b89655c7-zwscm,44m,98Mi,1701446187.1344817
front-end-55b89655c7-zwscm,44m,100Mi,1701446209.2255285
