Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8923,0,66,64.87147834808908,1.2877000000024452,358.7438000000001,8688.0,467.54321105454403,0.0,66,90,97,100,160,190,230,260,340,360,360
,Aggregated,8923,0,66,64.87147834808908,1.2877000000024452,358.7438000000001,8688.0,467.54321105454403,0.0,66,90,97,100,160,190,230,260,340,360,360
