Resource,Cooling Time,Current Time,Replicas,Mode
0,0,0,0,0
3.1500000000000004,0,1701796643.671792,,vertical
3.2231785379534026,0,1701796664.848261,,vertical
128.63184761035305,0,1701796686.0260956,,vertical
180.36315887092957,0,1701796707.22199,,vertical
183.96440315135277,1701796728.2898777,1701796728.2898777,2,horizontal
172.9950503787217,1701796728.2898777,1701796749.5269995,,vertical
120.08808052021587,1701796728.2898777,1701796770.7907708,,vertical
113.75243530345494,1701796728.2898777,1701796792.3176973,,vertical
103.65982879442826,1701796728.2898777,1701796813.622999,,vertical
103.90224530410077,1701796728.2898777,1701796835.011448,,vertical
97.47073343141533,1701796728.2898777,1701796856.3466032,,vertical
120.23819677968437,1701796728.2898777,1701796877.7661264,,vertical
117.30666077881968,1701796728.2898777,1701796899.1772447,,vertical
114.6868937104323,1701796728.2898777,1701796920.5882356,,vertical
125.54663666562016,1701796728.2898777,1701796941.9293842,,vertical
126.97118838024397,1701796728.2898777,1701796963.379876,,vertical
116.02179083363897,1701796728.2898777,1701796984.6872885,,vertical
119.23959877636476,1701796728.2898777,1701797006.1864748,,vertical
111.83928804545991,1701796728.2898777,1701797027.49823,,vertical
101.80344835660786,1701796728.2898777,1701797048.8875797,,vertical
91.5740514165297,1701796728.2898777,1701797070.2129693,,vertical
82.09146256684342,1701796728.2898777,1701797091.6235924,,vertical
80.90956310164832,1701796728.2898777,1701797113.027646,,vertical
67.54698219783683,1701796728.2898777,1701797134.4299815,,vertical
67.87809439697425,1701796728.2898777,1701797155.7747095,,vertical
76.25098502139038,1701796728.2898777,1701797177.1900704,,vertical
107.48383544268532,1701796728.2898777,1701797198.5380204,,vertical
125.13520831158988,1701797220.0734513,1701797220.0734513,3,horizontal
123.97343579980128,1701797220.0734513,1701797241.4915853,,vertical
114.65299913558903,1701797220.0734513,1701797263.142808,,vertical
139.54490608221465,1701797220.0734513,1701797284.7352228,,vertical
133.06138591834676,1701797220.0734513,1701797306.3952599,,vertical
115.70579981331674,1701797220.0734513,1701797328.0401874,,vertical
104.42077345182527,1701797220.0734513,1701797349.7280028,,vertical
95.17280025279389,1701797220.0734513,1701797371.3749464,,vertical
92.94931553437371,1701797220.0734513,1701797393.1402123,,vertical
113.46950901458536,1701797220.0734513,1701797414.763633,,vertical
111.36293712568589,1701797220.0734513,1701797436.5776486,,vertical
114.22417399767858,1701797458.1853404,1701797458.1853404,4,horizontal
117.0135091021781,1701797458.1853404,1701797479.9478302,,vertical
125.74014441505902,1701797458.1853404,1701797501.7019856,,vertical
109.27046357361756,1701797458.1853404,1701797523.5630546,,vertical
107.36917849138071,1701797458.1853404,1701797545.4768384,,vertical
74.55,1701797458.1853404,1701797567.3861213,,vertical
63.808199819963995,1701797589.1816165,1701797589.1816165,3,horizontal
63.612054469101096,1701797589.1816165,1701797611.1771865,,vertical
63.67809439697425,1701797589.1816165,1701797632.8123858,,vertical
81.08728227803108,1701797589.1816165,1701797654.6461256,,vertical
91.27153238866332,1701797589.1816165,1701797676.2532468,,vertical
97.08352388859119,1701797589.1816165,1701797697.976782,,vertical
104.44864772710024,1701797589.1816165,1701797719.6425083,,vertical
95.63839475471056,1701797589.1816165,1701797741.3817992,,vertical
97.72078473363848,1701797589.1816165,1701797763.148039,,vertical
113.59136429935988,1701797784.896643,1701797784.896643,4,horizontal
110.34819834042504,1701797784.896643,1701797806.6271927,,vertical
110.34819834042504,1701797784.896643,1701797828.5828655,,vertical
114.64136429935988,1701797784.896643,1701797850.4008482,,vertical
120.77762095631817,1701797784.896643,1701797872.46077,,vertical
113.26342868027662,1701797784.896643,1701797894.2963598,,vertical
104.03042698655908,1701797916.2653759,1701797916.2653759,3,horizontal
87.94612054075489,1701797916.2653759,1701797938.2012255,,vertical
