GET,/,2881,0,500.0,465.839286914265,5.834600000000023,1002.7683999999999,8688.0,151.65251372115796,0.0,500,590,600,680,700,790,850,900,1000,1000,1000
,Aggregated,2881,0,500.0,465.839286914265,5.834600000000023,1002.7683999999999,8688.0,151.65251372115796,0.0,500,590,600,680,700,790,850,900,1000,1000,1000
GET,/,2786,0,100,161.0646766331657,1.4076999999996787,803.7919999999998,8688.0,146.4341113720618,0.0,100,190,200,210,300,410,610,700,800,800,800
,Aggregated,2786,0,100,161.0646766331657,1.4076999999996787,803.7919999999998,8688.0,146.4341113720618,0.0,100,190,200,210,300,410,610,700,800,800,800
GET,/,2476,0,6,55.06209733441028,1.2236000000003244,651.4884000000001,8688.0,130.4196171480822,0.0,6,68,88,93,100,200,540,550,650,650,650
,Aggregated,2476,0,6,55.06209733441028,1.2236000000003244,651.4884000000001,8688.0,130.4196171480822,0.0,6,68,88,93,100,200,540,550,650,650,650
GET,/,1855,0,4,42.533504312668526,1.1840999999996882,749.0215999999998,8688.0,97.50794520108451,0.0,4,5,6,9,94,230,610,610,720,750,750
,Aggregated,1855,0,4,42.533504312668526,1.1840999999996882,749.0215999999998,8688.0,97.50794520108451,0.0,4,5,6,9,94,230,610,610,720,750,750
GET,/,1539,0,4,22.9029376868096,1.1745000000011885,442.663,8688.0,81.55411454774375,0.0,4,5,6,7,50,120,260,350,440,440,440
,Aggregated,1539,0,4,22.9029376868096,1.1745000000011885,442.663,8688.0,81.55411454774375,0.0,4,5,6,7,50,120,260,350,440,440,440
GET,/,2633,0,5,37.606572426889464,1.196000000000197,436.72979999999995,8688.0,138.80336174639717,0.0,5,7,11,60,110,240,300,340,430,440,440
,Aggregated,2633,0,5,37.606572426889464,1.196000000000197,436.72979999999995,8688.0,138.80336174639717,0.0,5,7,11,60,110,240,300,340,430,440,440
GET,/,1710,0,4,27.674088011695947,1.139499999999849,417.2710000000002,8688.0,90.80570290303747,0.0,4,5,6,10,90,170,300,320,410,420,420
,Aggregated,1710,0,4,27.674088011695947,1.139499999999849,417.2710000000002,8688.0,90.80570290303747,0.0,4,5,6,10,90,170,300,320,410,420,420
GET,/,2016,0,5,32.838934275793676,1.3106000000000506,545.7938,8688.0,105.94136545452122,0.0,5,8,10,11,64,140,530,540,540,550,550
