Resource,Cooling Time,Current Time,Replicas,Mode
0,0,0,0,0
344.09937888198755,1702574599.266858,1702574599.266858,,vertical
294.4099378881987,1702574599.266858,1702574620.4570408,,vertical
303.1055900621118,1702574599.266858,1702574641.5663283,,vertical
299.37888198757764,1702574599.266858,1702574662.711901,,vertical
270.80745341614903,1702574599.266858,1702574683.8492043,,vertical
225.2523459193418,1702574599.266858,1702574705.1067276,,vertical
306.84348107773343,1702574726.2332172,1702574726.2332172,2,horizontal
247.32819915729962,1702574726.2332172,1702574747.6262083,,vertical
276.7240679037783,1702574726.2332172,1702574769.0198536,,vertical
215.4581763896786,1702574726.2332172,1702574791.7558901,,vertical
136.9807648229837,1702574726.2332172,1702574813.213968,,vertical
124.37057293548628,1702574726.2332172,1702574834.6322527,,vertical
147.7818213370782,1702574726.2332172,1702574856.0647786,,vertical
154.53660228128112,1702574726.2332172,1702574877.473158,,vertical
146.7176021727105,1702574726.2332172,1702574898.9533076,,vertical
165.64647183097125,1702574726.2332172,1702574920.5429852,,vertical
153.33386563612865,1702574726.2332172,1702574942.0400715,,vertical
189.93728334576812,1702574726.2332172,1702574963.4519722,,vertical
164.6257406124968,1702574726.2332172,1702574984.8716075,,vertical
141.75234542494638,1702574726.2332172,1702575006.2254946,,vertical
188.6893740600959,1702574726.2332172,1702575027.6522317,,vertical
151.6537775196728,1702574726.2332172,1702575048.9890304,,vertical
140.75047885645702,1702574726.2332172,1702575070.4234378,,vertical
150.38069644267813,1702574726.2332172,1702575091.8485804,,vertical
157.54472280460357,1702574726.2332172,1702575113.227227,,vertical
150.0024172964381,1702574726.2332172,1702575134.6873045,,vertical
164.22302018270966,1702574726.2332172,1702575156.0447195,,vertical
168.5486682377997,1702574726.2332172,1702575177.521278,,vertical
185.01871693223066,1702574726.2332172,1702575198.9878712,,vertical
164.75729600028035,1702574726.2332172,1702575220.5134566,,vertical
162.14588936363674,1702574726.2332172,1702575242.1041527,,vertical
169.27850576069181,1702574726.2332172,1702575263.6120856,,vertical
171.22489613905068,1702574726.2332172,1702575285.0703766,,vertical
155.39260147955167,1702574726.2332172,1702575306.5809565,,vertical
184.83128903693054,1702574726.2332172,1702575328.1527255,,vertical
182.37134575586958,1702574726.2332172,1702575349.7611408,,vertical
191.1033998801364,1702574726.2332172,1702575371.2717245,,vertical
175.03450228353017,1702574726.2332172,1702575392.8164175,,vertical
