GET,/,8080,0,25,31.89117349,1.3064,317.3584,1507,424.5034952,0,25,32,39,43,57,78,120,160,290,320,320
,Aggregated,8080,0,25,31.89117349,1.3064,317.3584,1507,424.5034952,0,25,32,39,43,57,78,120,160,290,320,320
GET,/,7423,0,28,39.46750983,1.2295,312.5998,1507,389.4637145,0,28,45,54,59,77,100,160,190,310,310,310
,Aggregated,7423,0,28,39.46750983,1.2295,312.5998,1507,389.4637145,0,28,45,54,59,77,100,160,190,310,310,310
GET,/,7084,0,25,43.82078674,1.1603,294.5801,1507,372.2179803,0,25,54,70,79,99,120,190,210,270,290,290
,Aggregated,7084,0,25,43.82078674,1.1603,294.5801,1507,372.2179803,0,25,54,70,79,99,120,190,210,270,290,290
GET,/,6683,0,24,45.73669532,0.9559,476.4403,1507,351.0335749,0,24,47,66,77,98,170,200,270,470,480,480
,Aggregated,6683,0,24,45.73669532,0.9559,476.4403,1507,351.0335749,0,24,47,66,77,98,170,200,270,470,480,480
GET,/,6419,0,32,56.26223913,1.0425,392.0285,1507,338.0942724,0,32,63,78,86,130,190,250,330,390,390,390
,Aggregated,6419,0,32,56.26223913,1.0425,392.0285,1507,338.0942724,0,32,63,78,86,130,190,250,330,390,390,390
GET,/,6865,0,71,90.24897822,1.1868,623.6396,1507,359.9954411,0,71,95,120,160,210,280,330,410,600,620,620
,Aggregated,6865,0,71,90.24897822,1.1868,623.6396,1507,359.9954411,0,71,95,120,160,210,280,330,410,600,620,620
GET,/,6349,0,72,86.23758249,1.0972,783.6779,1507,333.932913,0,72,89,100,120,200,270,380,430,620,780,780
,Aggregated,6349,0,72,86.23758249,1.0972,783.6779,1507,333.932913,0,72,89,100,120,200,270,380,430,620,780,780
GET,/,6593,0,64,78.69078818,1.0933,596.3144,1507,346.2914589,0,64,88,100,110,190,260,300,360,520,600,600
,Aggregated,6593,0,64,78.69078818,1.0933,596.3144,1507,346.2914589,0,64,88,100,110,190,260,300,360,520,600,600
