POD,CPU,MEMORY,TIME,Resource,
frontend-767bb5b6b6-5fvdr,93,32Mi,1703206515,132.5301205,
frontend-767bb5b6b6-5fvdr,99,32Mi,1703206536,128.5140562,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703206558,128.5140562,
frontend-767bb5b6b6-5fvdr,97,32Mi,1703206579,125.8366801,
frontend-767bb5b6b6-5fvdr,97,32Mi,1703206601,124.497992,
frontend-767bb5b6b6-5fvdr,98,32Mi,1703206623,129.8527443,
frontend-767bb5b6b6-5fvdr,108,32Mi,1703206644,130.5220884,
frontend-767bb5b6b6-5fvdr,90,32Mi,1703206666,137.8848728,
frontend-767bb5b6b6-5fvdr,86,32Mi,1703206688,132.5301205,
frontend-767bb5b6b6-5fvdr,93,32Mi,1703206709,117.8045515,
frontend-767bb5b6b6-5fvdr,103,32Mi,1703206731,119.8125837,
frontend-767bb5b6b6-5fvdr,77,32Mi,1703206752,131.1914324,
frontend-767bb5b6b6-5fvdr,84,32Mi,1703206774,120.4819277,
frontend-767bb5b6b6-5fvdr,93,32Mi,1703206796,107.7643909,
frontend-767bb5b6b6-5fvdr,87,32Mi,1703206818,118.4738956,
frontend-767bb5b6b6-5fvdr,80,32Mi,1703206839,120.4819277,
frontend-767bb5b6b6-5fvdr,94,32Mi,1703206861,111.7804552,
frontend-767bb5b6b6-5fvdr,99,32Mi,1703206882,116.4658635,
frontend-767bb5b6b6-5fvdr,85,32Mi,1703206904,129.1834003,
frontend-767bb5b6b6-5fvdr,91,32Mi,1703206925,123.1593039,
frontend-767bb5b6b6-5fvdr,76,32Mi,1703206947,117.8045515,
frontend-767bb5b6b6-5fvdr,86,32Mi,1703206969,111.7804552,
frontend-767bb5b6b6-5fvdr,82,32Mi,1703206990,108.4337349,
frontend-767bb5b6b6-5fvdr,73,32Mi,1703207012,112.4497992,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703207033,103.7483266,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703207055,107.7643909,
frontend-767bb5b6b6-5fvdr,83,31Mi,1703207077,115.7965194,
frontend-767bb5b6b6-5fvdr,106,31Mi,1703207098,112.4497992,
frontend-767bb5b6b6-5fvdr,81,31Mi,1703207120,126.5060241,
frontend-767bb5b6b6-5fvdr,92,31Mi,1703207141,125.167336,
frontend-767bb5b6b6-5fvdr,94,31Mi,1703207163,115.7965194,
frontend-767bb5b6b6-5fvdr,79,30Mi,1703207185,124.497992,
frontend-767bb5b6b6-5fvdr,93,30Mi,1703207206,115.7965194,
frontend-767bb5b6b6-5fvdr,66,30Mi,1703207228,115.1271754,
frontend-767bb5b6b6-5fvdr,83,30Mi,1703207250,106.4257028,
frontend-767bb5b6b6-5fvdr,67,30Mi,1703207271,99.73226238,
frontend-767bb5b6b6-5fvdr,76,30Mi,1703207293,100.4016064,
frontend-767bb5b6b6-5fvdr,95,30Mi,1703207315,95.71619813,
frontend-767bb5b6b6-5fvdr,78,30Mi,1703207336,114.4578313,
frontend-767bb5b6b6-5fvdr,101,30Mi,1703207358,115.7965194,
frontend-767bb5b6b6-5fvdr,87,30Mi,1703207380,119.8125837,
frontend-767bb5b6b6-5fvdr,80,30Mi,1703207402,125.8366801,
frontend-767bb5b6b6-5fvdr,99,30Mi,1703207423,111.7804552,
frontend-767bb5b6b6-5fvdr,80,30Mi,1703207445,119.8125837,
frontend-767bb5b6b6-5fvdr,92,30Mi,1703207467,119.8125837,
frontend-767bb5b6b6-5fvdr,98,31Mi,1703207488,115.1271754,
frontend-767bb5b6b6-5fvdr,87,31Mi,1703207510,127.1753681,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703207532,123.8286479,
frontend-767bb5b6b6-5fvdr,101,31Mi,1703207553,117.1352075,
frontend-767bb5b6b6-5fvdr,75,31Mi,1703207575,126.5060241,
frontend-767bb5b6b6-5fvdr,92,31Mi,1703207596,117.8045515,
frontend-767bb5b6b6-5fvdr,109,31Mi,1703207618,111.7804552,
frontend-767bb5b6b6-5fvdr,80,31Mi,1703207640,134.5381526,
frontend-767bb5b6b6-5fvdr,106,31Mi,1703207661,126.5060241,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703207683,124.497992,
frontend-767bb5b6b6-5fvdr,100,31Mi,1703207704,129.8527443,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703207726,125.8366801,
frontend-767bb5b6b6-5fvdr,82,31Mi,1703207748,125.8366801,
frontend-767bb5b6b6-5fvdr,95,31Mi,1703207769,113.7884873,
frontend-767bb5b6b6-5fvdr,100,31Mi,1703207791,118.4738956,
frontend-767bb5b6b6-5fvdr,84,31Mi,1703207813,130.5220884,
frontend-767bb5b6b6-5fvdr,100,31Mi,1703207834,123.1593039,
frontend-767bb5b6b6-5fvdr,87,31Mi,1703207856,123.1593039,
frontend-767bb5b6b6-5fvdr,99,31Mi,1703207877,125.167336,
frontend-767bb5b6b6-5fvdr,99,31Mi,1703207899,124.497992,
frontend-767bb5b6b6-5fvdr,102,31Mi,1703207921,132.5301205,
frontend-767bb5b6b6-5fvdr,92,31Mi,1703207942,134.5381526,
frontend-767bb5b6b6-5fvdr,99,31Mi,1703207964,129.8527443,
frontend-767bb5b6b6-5fvdr,100,31Mi,1703207986,127.8447122,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703208007,133.1994645,
frontend-767bb5b6b6-5fvdr,96,31Mi,1703208029,124.497992,
frontend-767bb5b6b6-5fvdr,104,31Mi,1703208050,121.8206158,
frontend-767bb5b6b6-5fvdr,85,31Mi,1703208072,133.8688086,
frontend-767bb5b6b6-5fvdr,102,31Mi,1703208094,126.5060241,
frontend-767bb5b6b6-5fvdr,87,31Mi,1703208116,125.167336,
frontend-767bb5b6b6-5fvdr,102,31Mi,1703208137,126.5060241,
frontend-767bb5b6b6-5fvdr,89,31Mi,1703208159,126.5060241,
frontend-767bb5b6b6-5fvdr,113,31Mi,1703208180,127.8447122,
frontend-767bb5b6b6-5fvdr,78,31Mi,1703208202,135.2074967,
frontend-767bb5b6b6-5fvdr,109,31Mi,1703208224,127.8447122,
frontend-767bb5b6b6-5fvdr,86,31Mi,1703208245,125.167336,
frontend-767bb5b6b6-5fvdr,100,31Mi,1703208267,130.5220884,
frontend-767bb5b6b6-5fvdr,95,31Mi,1703208288,124.497992,
frontend-767bb5b6b6-5fvdr,92,31Mi,1703208310,130.5220884,
