Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5790,0,7,39.6445613816926,1.2057999999992575,494.51440000000036,8688.0,304.3281830295468,0.0,7,13,63,78,98,200,270,330,480,490,490
,Aggregated,5790,0,7,39.6445613816926,1.2057999999992575,494.51440000000036,8688.0,304.3281830295468,0.0,7,13,63,78,98,200,270,330,480,490,490
