POD,CPU,MEMORY,TIME,,,,,,,Resource,
front-end-55b89655c7-6flr7,145,105Mi,1703226684,front-end-55b89655c7-cmjfv,150,110Mi,1703226684,295,454.8292309,227.4146154,
front-end-55b89655c7-6flr7,167,104Mi,1703226706,front-end-55b89655c7-cmjfv,172,107Mi,1703226706,339,382.0971458,191.0485729,
front-end-55b89655c7-6flr7,166,102Mi,1703226727,front-end-55b89655c7-cmjfv,172,107Mi,1703226727,338,397.6726291,198.8363145,
front-end-55b89655c7-6flr7,162,104Mi,1703226749,front-end-55b89655c7-cmjfv,147,110Mi,1703226749,309,419.2543199,209.6271599,
front-end-55b89655c7-6flr7,170,107Mi,1703226770,front-end-55b89655c7-cmjfv,169,106Mi,1703226770,339,412.4839313,206.2419657,
front-end-55b89655c7-6flr7,151,103Mi,1703226791,front-end-55b89655c7-cmjfv,160,109Mi,1703226791,311,430.5329203,215.2664601,
front-end-55b89655c7-6flr7,192,106Mi,1703226813,front-end-55b89655c7-cmjfv,177,107Mi,1703226813,369,387.1813312,193.5906656,
front-end-55b89655c7-6flr7,169,104Mi,1703226834,front-end-55b89655c7-cmjfv,162,107Mi,1703226834,331,433.7425617,216.8712808,
front-end-55b89655c7-6flr7,169,104Mi,1703226856,front-end-55b89655c7-cmjfv,187,109Mi,1703226856,356,423.2644652,211.6322326,
front-end-55b89655c7-6flr7,156,104Mi,1703226877,front-end-55b89655c7-cmjfv,167,107Mi,1703226877,323,426.1568259,213.078413,
front-end-55b89655c7-6flr7,152,105Mi,1703226899,front-end-55b89655c7-cmjfv,183,105Mi,1703226899,335,399.5633598,199.7816799,
front-end-55b89655c7-6flr7,149,106Mi,1703226920,front-end-55b89655c7-cmjfv,169,107Mi,1703226920,318,387.9588056,193.9794028,
front-end-55b89655c7-6flr7,138,105Mi,1703226941,front-end-55b89655c7-cmjfv,141,106Mi,1703226941,279,382.4859977,191.2429988,
front-end-55b89655c7-6flr7,149,104Mi,1703226963,front-end-55b89655c7-cmjfv,138,108Mi,1703226963,287,356.4496518,178.2248259,
front-end-55b89655c7-6flr7,147,105Mi,1703226984,front-end-55b89655c7-cmjfv,162,108Mi,1703226984,309,379.5899739,189.794987,
front-end-55b89655c7-6flr7,140,103Mi,1703227006,front-end-55b89655c7-cmjfv,159,108Mi,1703227006,299,377.0804369,188.5402185,
front-end-55b89655c7-6flr7,176,104Mi,1703227027,front-end-55b89655c7-cmjfv,132,107Mi,1703227027,308,363.4377165,181.7188582,
front-end-55b89655c7-6flr7,159,105Mi,1703227048,front-end-55b89655c7-cmjfv,154,109Mi,1703227048,313,418.0992656,209.0496328,
front-end-55b89655c7-6flr7,135,104Mi,1703227070,front-end-55b89655c7-cmjfv,166,109Mi,1703227070,301,397.3585285,198.6792642,
front-end-55b89655c7-6flr7,148,105Mi,1703227091,front-end-55b89655c7-cmjfv,157,111Mi,1703227091,305,347.3813829,173.6906915,
front-end-55b89655c7-6flr7,137,108Mi,1703227112,front-end-55b89655c7-cmjfv,157,111Mi,1703227112,294,379.2988356,189.6494178,
front-end-55b89655c7-6flr7,151,106Mi,1703227134,front-end-55b89655c7-cmjfv,149,106Mi,1703227134,300,358.0770202,179.0385101,
front-end-55b89655c7-6flr7,153,106Mi,1703227155,front-end-55b89655c7-cmjfv,146,108Mi,1703227155,299,385.7018936,192.8509468,
front-end-55b89655c7-6flr7,157,106Mi,1703227177,front-end-55b89655c7-cmjfv,156,108Mi,1703227177,313,380.5131062,190.2565531,
front-end-55b89655c7-6flr7,136,104Mi,1703227198,front-end-55b89655c7-cmjfv,153,109Mi,1703227198,289,397.7990535,198.8995267,
front-end-55b89655c7-6flr7,117,108Mi,1703227219,front-end-55b89655c7-cmjfv,142,108Mi,1703227219,259,350.6456963,175.3228482,
front-end-55b89655c7-6flr7,133,104Mi,1703227241,front-end-55b89655c7-cmjfv,136,109Mi,1703227241,269,319.2450378,159.6225189,
front-end-55b89655c7-6flr7,133,105Mi,1703227262,front-end-55b89655c7-cmjfv,115,109Mi,1703227262,248,339.9240188,169.9620094,
front-end-55b89655c7-6flr7,158,104Mi,1703227283,front-end-55b89655c7-cmjfv,150,108Mi,1703227283,308,339.3988178,169.6994089,
front-end-55b89655c7-6flr7,127,104Mi,1703227305,front-end-55b89655c7-cmjfv,152,107Mi,1703227305,279,389.982465,194.9912325,
front-end-55b89655c7-6flr7,143,102Mi,1703227326,front-end-55b89655c7-cmjfv,141,109Mi,1703227326,284,330.7601802,165.3800901,
front-end-55b89655c7-6flr7,143,105Mi,1703227348,front-end-55b89655c7-cmjfv,164,109Mi,1703227348,307,362.5098592,181.2549296,
front-end-55b89655c7-6flr7,146,104Mi,1703227369,front-end-55b89655c7-cmjfv,143,108Mi,1703227369,289,363.2525807,181.6262903,
front-end-55b89655c7-6flr7,136,105Mi,1703227390,front-end-55b89655c7-cmjfv,180,109Mi,1703227390,316,375.8350846,187.9175423,
front-end-55b89655c7-6flr7,128,103Mi,1703227412,front-end-55b89655c7-cmjfv,129,109Mi,1703227412,257,349.9832419,174.9916209,
front-end-55b89655c7-6flr7,126,104Mi,1703227433,front-end-55b89655c7-cmjfv,153,109Mi,1703227433,279,338.2948474,169.1474237,
front-end-55b89655c7-6flr7,131,104Mi,1703227455,front-end-55b89655c7-cmjfv,138,107Mi,1703227455,269,329.9264347,164.9632173,
