Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9483,0,74,77.48753862701686,1.3491999999999393,419.50600000000014,8688.0,498.5515260793302,0.0,74,89,98,110,170,210,290,310,360,420,420
,Aggregated,9483,0,74,77.48753862701686,1.3491999999999393,419.50600000000014,8688.0,498.5515260793302,0.0,74,89,98,110,170,210,290,310,360,420,420
