POD,CPU,MEMORY,TIME,Resource,,,
frontend-767bb5b6b6-cjccz,106,29Mi,1703253549,127.0384018,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703253571,141.753191,,,
frontend-767bb5b6b6-cjccz,121,30Mi,1703253592,124.3584168,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703253614,140.4499861,,,
frontend-767bb5b6b6-cjccz,95,30Mi,1703253635,126.3222642,,,
frontend-767bb5b6b6-cjccz,68,30Mi,1703253656,126.0155216,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703253678,97.58455228,,,
frontend-767bb5b6b6-cjccz,82,30Mi,1703253699,110.828243,,,
frontend-767bb5b6b6-cjccz,87,30Mi,1703253721,118.7666073,,,
frontend-767bb5b6b6-cjccz,77,30Mi,1703253742,116.6267083,,,
frontend-767bb5b6b6-cjccz,91,30Mi,1703253764,99.32911841,,,
frontend-767bb5b6b6-cjccz,76,30Mi,1703253786,116.1521303,,,
frontend-767bb5b6b6-cjccz,93,30Mi,1703253807,108.6751017,,,
frontend-767bb5b6b6-cjccz,81,30Mi,1703253829,112.873465,,,
frontend-767bb5b6b6-cjccz,86,30Mi,1703253851,108.5891593,,,
frontend-767bb5b6b6-cjccz,86,30Mi,1703253872,114.8835304,,,
frontend-767bb5b6b6-cjccz,86,30Mi,1703253893,113.0154254,,,
frontend-767bb5b6b6-cjccz,92,30Mi,1703253915,115.0594175,,,
frontend-767bb5b6b6-cjccz,91,30Mi,1703253937,121.9146477,,,
frontend-767bb5b6b6-cjccz,78,30Mi,1703253958,121.1136972,,,
frontend-767bb5b6b6-cjccz,95,30Mi,1703253980,110.5562754,,,
frontend-767bb5b6b6-cjccz,80,30Mi,1703254001,114.7222074,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703254023,115.2094678,,,
frontend-767bb5b6b6-cjccz,86,30Mi,1703254044,121.4179786,,,
frontend-767bb5b6b6-cjccz,86,30Mi,1703254066,111.9746733,,,
frontend-767bb5b6b6-cjccz,88,29Mi,1703254087,115.0254515,,,
frontend-767bb5b6b6-cjccz,81,29Mi,1703254109,117.5176984,,,
frontend-767bb5b6b6-cjccz,96,29Mi,1703254130,109.0109784,,,
frontend-767bb5b6b6-cjccz,73,29Mi,1703254152,118.8116449,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703254173,111.2592904,,,
frontend-767bb5b6b6-cjccz,87,29Mi,1703254195,118.6790522,,,
frontend-767bb5b6b6-cjccz,99,29Mi,1703254216,122.6110744,,,
