POD,CPU,MEMORY,TIME,,,,,,,Resource,,,
,,,,,,,,,84.07968776,42.03984388,,,
,,,,,,,,,84.07968776,42.03984388,,,
,,,,,,,,,84.07968776,42.03984388,,,
,,,,,,,,,82.73468037,41.36734018,,,
,,,,,,,,,82.73468037,41.36734018,,,
,,,,,,,,,82.73468037,41.36734018,,,
,,,,,,,,,82.73468037,41.36734018,,,
,,,,,,,,,82.73468037,41.36734018,,,
,,,,,,,,,81.01427863,40.50713932,,,
,,,,,,,,,81.01427863,40.50713932,,,
,,,,,,,,,81.01427863,40.50713932,,,
,,,,,,,,,81.01427863,40.50713932,,,
,,,,,,,,,81.01427863,40.50713932,,,
,,,,,,,,,76.62324726,38.31162363,,,
,,,,,,,,,76.62324726,38.31162363,,,
,,,,,,,,,76.62324726,38.31162363,,,
,,,,,,,,,76.62324726,38.31162363,,,
,,,,,,,,,76.62324726,38.31162363,,,
,,,,,,,,,72.06986294,36.03493147,,,
,,,,,,,,,72.06986294,36.03493147,,,
,,,,,,,,,72.06986294,36.03493147,,,
,,,,,,,,,72.06986294,36.03493147,,,
,,,,,,,,,72.06986294,36.03493147,,,
,,,,,,,,,68.52049533,34.26024766,,,
,,,,,,,,,68.52049533,34.26024766,,,
,,,,,,,,,68.52049533,34.26024766,,,
,,,,,,,,,68.52049533,34.26024766,,,
,,,,,,,,,68.52049533,34.26024766,,,
,,,,,,,,,59.03052276,29.51526138,,,
,,,,,,,,,59.03052276,29.51526138,,,
,,,,,,,,,59.03052276,29.51526138,,,
,,,,,,,,,59.03052276,29.51526138,,,
,,,,,,,,,59.03052276,29.51526138,,,
,,,,,,,,,53.0365022,26.5182511,,,
,,,,,,,,,53.0365022,26.5182511,,,
,,,,,,,,,53.0365022,26.5182511,,,
,,,,,,,,,53.0365022,26.5182511,,,
,,,,,,,,,53.0365022,26.5182511,,,
,,,,,,,,,49.89639852,24.94819926,,,
,,,,,,,,,49.89639852,24.94819926,,,
,,,,,,,,,49.89639852,24.94819926,,,
,,,,,,,,,49.89639852,24.94819926,,,
,,,,,,,,,49.89639852,24.94819926,,,
,,,,,,,,,46.15202495,23.07601247,,,
,,,,,,,,,46.15202495,23.07601247,,,
,,,,,,,,,46.15202495,23.07601247,,,
,,,,,,,,,46.15202495,23.07601247,,,
,,,,,,,,,46.15202495,23.07601247,,,
,,,,,,,,,41.18327903,20.59163952,,,
,,,,,,,,,41.18327903,20.59163952,,,
,,,,,,,,,41.18327903,20.59163952,,,
,,,,,,,,,41.18327903,20.59163952,,,
,,,,,,,,,41.18327903,20.59163952,,,
,,,,,,,,,37.90249202,18.95124601,,,
,,,,,,,,,37.90249202,18.95124601,,,
,,,,,,,,,37.90249202,18.95124601,,,
,,,,,,,,,37.90249202,18.95124601,,,
,,,,,,,,,37.90249202,18.95124601,,,
,,,,,,,,,34.29601057,17.14800529,,,
,,,,,,,,,34.29601057,17.14800529,,,
,,,,,,,,,34.29601057,17.14800529,,,
,,,,,,,,,34.29601057,17.14800529,,,
,,,,,,,,,34.29601057,17.14800529,,,
,,,,,,,,,31.23647697,15.61823848,,,
,,,,,,,,,31.23647697,15.61823848,,,
,,,,,,,,,31.23647697,15.61823848,,,
,,,,,,,,,31.23647697,15.61823848,,,
,,,,,,,,,31.23647697,15.61823848,,,
,,,,,,,,,26.19091896,13.09545948,,,
,,,,,,,,,26.19091896,13.09545948,,,
,,,,,,,,,26.19091896,13.09545948,,,
,,,,,,,,,26.19091896,13.09545948,,,
,,,,,,,,,26.19091896,13.09545948,,,
,,,,,,,,,23.75504015,11.87752008,,,
,,,,,,,,,23.75504015,11.87752008,,,
,,,,,,,,,23.75504015,11.87752008,,,
,,,,,,,,,23.75504015,11.87752008,,,
,,,,,,,,,23.75504015,11.87752008,,,
,,,,,,,,,19.31207844,9.65603922,,,
,,,,,,,,,19.31207844,9.65603922,,,
,,,,,,,,,19.31207844,9.65603922,,,
,,,,,,,,,19.31207844,9.65603922,,,
,,,,,,,,,19.31207844,9.65603922,,,
,,,,,,,,,16.28663602,8.143318009,,,
,,,,,,,,,16.28663602,8.143318009,,,
,,,,,,,,,16.28663602,8.143318009,,,
,,,,,,,,,16.28663602,8.143318009,,,
,,,,,,,,,16.28663602,8.143318009,,,
,,,,,,,,,13.25180808,6.62590404,,,
,,,,,,,,,13.25180808,6.62590404,,,
,,,,,,,,,13.25180808,6.62590404,,,
,,,,,,,,,13.25180808,6.62590404,,,
,,,,,,,,,13.25180808,6.62590404,,,
,,,,,,,,,12.05874215,6.029371073,,,
,,,,,,,,,12.05874215,6.029371073,,,
,,,,,,,,,12.05874215,6.029371073,,,
,,,,,,,,,12.05874215,6.029371073,,,
,,,,,,,,,12.05874215,6.029371073,,,
,,,,,,,,,11.4375478,5.718773899,,,
,,,,,,,,,11.4375478,5.718773899,,,
,,,,,,,,,11.4375478,5.718773899,,,
,,,,,,,,,11.4375478,5.718773899,,,
,,,,,,,,,11.4375478,5.718773899,,,
,,,,,,,,,13.09450477,6.547252386,,,
,,,,,,,,,13.09450477,6.547252386,,,
,,,,,,,,,13.09450477,6.547252386,,,
,,,,,,,,,13.09450477,6.547252386,,,
,,,,,,,,,13.09450477,6.547252386,,,
,,,,,,,,,11.71584185,5.857920927,,,
,,,,,,,,,11.71584185,5.857920927,,,
,,,,,,,,,11.71584185,5.857920927,,,
,,,,,,,,,11.71584185,5.857920927,,,
,,,,,,,,,11.71584185,5.857920927,,,
,,,,,,,,,12.57111397,6.285556987,,,
,,,,,,,,,12.57111397,6.285556987,,,
,,,,,,,,,12.57111397,6.285556987,,,
,,,,,,,,,12.57111397,6.285556987,,,
,,,,,,,,,12.57111397,6.285556987,,,
,,,,,,,,,11.95039933,5.975199667,,,
,,,,,,,,,11.95039933,5.975199667,,,
,,,,,,,,,11.95039933,5.975199667,,,
,,,,,,,,,11.95039933,5.975199667,,,
,,,,,,,,,11.95039933,5.975199667,,,
,,,,,,,,,12.3717542,6.185877102,,,
,,,,,,,,,12.3717542,6.185877102,,,
,,,,,,,,,12.3717542,6.185877102,,,
,,,,,,,,,12.3717542,6.185877102,,,
,,,,,,,,,12.3717542,6.185877102,,,
,,,,,,,,,13.04906795,6.524533976,,,
,,,,,,,,,13.04906795,6.524533976,,,
,,,,,,,,,13.04906795,6.524533976,,,
,,,,,,,,,13.04906795,6.524533976,,,
,,,,,,,,,13.04906795,6.524533976,,,
,,,,,,,,,12.84832168,6.424160838,,,
,,,,,,,,,12.84832168,6.424160838,,,
,,,,,,,,,12.84832168,6.424160838,,,
,,,,,,,,,12.84832168,6.424160838,,,
,,,,,,,,,12.84832168,6.424160838,,,
,,,,,,,,,12.30674684,6.153373422,,,
,,,,,,,,,12.30674684,6.153373422,,,
,,,,,,,,,12.30674684,6.153373422,,,
,,,,,,,,,12.30674684,6.153373422,,,
,,,,,,,,,12.30674684,6.153373422,,,
,,,,,,,,,12.06496322,6.032481611,,,
,,,,,,,,,12.06496322,6.032481611,,,
,,,,,,,,,12.06496322,6.032481611,,,
,,,,,,,,,12.06496322,6.032481611,,,
,,,,,,,,,12.06496322,6.032481611,,,
,,,,,,,,,11.88582894,5.942914468,,,
,,,,,,,,,11.88582894,5.942914468,,,
,,,,,,,,,11.88582894,5.942914468,,,
,,,,,,,,,11.88582894,5.942914468,,,
,,,,,,,,,11.88582894,5.942914468,,,
,,,,,,,,,12.09385534,6.046927669,,,
,,,,,,,,,12.09385534,6.046927669,,,
,,,,,,,,,12.09385534,6.046927669,,,
,,,,,,,,,12.09385534,6.046927669,,,
,,,,,,,,,12.09385534,6.046927669,,,
,,,,,,,,,12.08596393,6.042981967,,,
,,,,,,,,,12.08596393,6.042981967,,,
,,,,,,,,,12.08596393,6.042981967,,,
,,,,,,,,,12.08596393,6.042981967,,,
,,,,,,,,,12.08596393,6.042981967,,,
,,,,,,,,,11.44774405,5.723872024,,,
,,,,,,,,,11.44774405,5.723872024,,,
,,,,,,,,,11.44774405,5.723872024,,,
,,,,,,,,,11.44774405,5.723872024,,,
,,,,,,,,,11.44774405,5.723872024,,,
,,,,,,,,,12.03766109,6.018830547,,,
,,,,,,,,,12.03766109,6.018830547,,,
,,,,,,,,,12.03766109,6.018830547,,,
,,,,,,,,,12.03766109,6.018830547,,,
,,,,,,,,,12.03766109,6.018830547,,,
,,,,,,,,,11.97805714,5.989028568,,,
,,,,,,,,,11.97805714,5.989028568,,,
,,,,,,,,,11.97805714,5.989028568,,,
,,,,,,,,,11.97805714,5.989028568,,,
,,,,,,,,,11.97805714,5.989028568,,,
,,,,,,,,,11.83692209,5.918461044,,,
,,,,,,,,,11.83692209,5.918461044,,,
,,,,,,,,,11.83692209,5.918461044,,,
,,,,,,,,,11.83692209,5.918461044,,,
,,,,,,,,,11.83692209,5.918461044,,,
,,,,,,,,,11.29753698,5.64876849,,,
,,,,,,,,,11.29753698,5.64876849,,,
,,,,,,,,,11.29753698,5.64876849,,,
,,,,,,,,,11.29753698,5.64876849,,,
,,,,,,,,,11.29753698,5.64876849,,,
,,,,,,,,,10.50509749,5.252548743,,,
,,,,,,,,,10.50509749,5.252548743,,,
,,,,,,,,,10.50509749,5.252548743,,,
,,,,,,,,,10.50509749,5.252548743,,,
,,,,,,,,,10.50509749,5.252548743,,,
,,,,,,,,,11.67141126,5.83570563,,,
,,,,,,,,,11.67141126,5.83570563,,,
,,,,,,,,,11.67141126,5.83570563,,,
,,,,,,,,,11.67141126,5.83570563,,,
,,,,,,,,,11.67141126,5.83570563,,,
,,,,,,,,,11.67640949,5.838204746,,,
,,,,,,,,,11.67640949,5.838204746,,,
,,,,,,,,,11.67640949,5.838204746,,,
,,,,,,,,,11.67640949,5.838204746,,,
,,,,,,,,,11.67640949,5.838204746,,,
,,,,,,,,,11.70328455,5.851642276,,,
,,,,,,,,,11.70328455,5.851642276,,,
,,,,,,,,,11.70328455,5.851642276,,,
,,,,,,,,,11.70328455,5.851642276,,,
,,,,,,,,,11.70328455,5.851642276,,,
,,,,,,,,,11.84927376,5.924636878,,,
,,,,,,,,,11.84927376,5.924636878,,,
,,,,,,,,,11.84927376,5.924636878,,,
,,,,,,,,,11.84927376,5.924636878,,,
,,,,,,,,,11.84927376,5.924636878,,,
,,,,,,,,,12.02041024,6.010205119,,,
,,,,,,,,,12.02041024,6.010205119,,,
,,,,,,,,,12.02041024,6.010205119,,,
,,,,,,,,,12.02041024,6.010205119,,,
,,,,,,,,,12.02041024,6.010205119,,,
,,,,,,,,,11.45831891,5.729159457,,,
,,,,,,,,,11.45831891,5.729159457,,,
,,,,,,,,,11.45831891,5.729159457,,,
,,,,,,,,,11.45831891,5.729159457,,,
,,,,,,,,,11.45831891,5.729159457,,,
,,,,,,,,,12.15553876,6.077769378,,,
,,,,,,,,,12.15553876,6.077769378,,,
,,,,,,,,,12.15553876,6.077769378,,,
,,,,,,,,,12.15553876,6.077769378,,,
,,,,,,,,,12.15553876,6.077769378,,,
,,,,,,,,,11.6971163,5.848558148,,,
,,,,,,,,,11.6971163,5.848558148,,,
,,,,,,,,,11.6971163,5.848558148,,,
,,,,,,,,,11.6971163,5.848558148,,,
,,,,,,,,,11.6971163,5.848558148,,,
,,,,,,,,,11.04571376,5.522856882,,,
,,,,,,,,,11.04571376,5.522856882,,,
,,,,,,,,,11.04571376,5.522856882,,,
,,,,,,,,,11.04571376,5.522856882,,,
,,,,,,,,,11.04571376,5.522856882,,,
,,,,,,,,,11.40024952,5.70012476,,,
,,,,,,,,,11.40024952,5.70012476,,,
,,,,,,,,,11.40024952,5.70012476,,,
,,,,,,,,,11.40024952,5.70012476,,,
,,,,,,,,,11.40024952,5.70012476,,,
,,,,,,,,,10.84767942,5.423839711,,,
,,,,,,,,,10.84767942,5.423839711,,,
,,,,,,,,,10.84767942,5.423839711,,,
,,,,,,,,,10.84767942,5.423839711,,,
,,,,,,,,,10.84767942,5.423839711,,,
,,,,,,,,,12.6853709,6.342685449,,,
,,,,,,,,,12.6853709,6.342685449,,,
,,,,,,,,,12.6853709,6.342685449,,,
,,,,,,,,,12.6853709,6.342685449,,,
,,,,,,,,,12.6853709,6.342685449,,,
,,,,,,,,,10.87025014,5.435125068,,,
,,,,,,,,,10.87025014,5.435125068,,,
,,,,,,,,,10.87025014,5.435125068,,,
,,,,,,,,,10.87025014,5.435125068,,,
,,,,,,,,,10.87025014,5.435125068,,,
,,,,,,,,,12.67452064,6.337260318,,,
,,,,,,,,,12.67452064,6.337260318,,,
,,,,,,,,,12.67452064,6.337260318,,,
,,,,,,,,,12.67452064,6.337260318,,,
,,,,,,,,,12.67452064,6.337260318,,,
,,,,,,,,,11.73218345,5.866091725,,,
,,,,,,,,,11.73218345,5.866091725,,,
,,,,,,,,,11.73218345,5.866091725,,,
,,,,,,,,,11.73218345,5.866091725,,,
,,,,,,,,,11.73218345,5.866091725,,,
,,,,,,,,,12.10605192,6.053025959,,,
,,,,,,,,,12.10605192,6.053025959,,,
,,,,,,,,,12.10605192,6.053025959,,,
,,,,,,,,,12.10605192,6.053025959,,,
,,,,,,,,,12.10605192,6.053025959,,,
,,,,,,,,,11.07191205,5.535956027,,,
,,,,,,,,,11.07191205,5.535956027,,,
,,,,,,,,,11.07191205,5.535956027,,,
,,,,,,,,,11.07191205,5.535956027,,,
,,,,,,,,,11.07191205,5.535956027,,,
,,,,,,,,,11.58725802,5.793629008,,,
,,,,,,,,,11.58725802,5.793629008,,,
,,,,,,,,,11.58725802,5.793629008,,,
,,,,,,,,,11.58725802,5.793629008,,,
,,,,,,,,,11.58725802,5.793629008,,,
,,,,,,,,,11.60249143,5.801245716,,,
,,,,,,,,,11.60249143,5.801245716,,,
,,,,,,,,,94.76889115,47.38444558,,,
,,,,,,,,,27.99111981,13.9955599,,,
,,,,,,,,,11.60249143,5.801245716,,,
,,,,,,,,,11.55330468,5.77665234,,,
,,,,,,,,,11.55330468,5.77665234,,,
,,,,,,,,,11.55330468,5.77665234,,,
,,,,,,,,,11.55330468,5.77665234,,,
,,,,,,,,,11.55330468,5.77665234,,,
,,,,,,,,,11.55135469,5.775677346,,,
,,,,,,,,,11.55135469,5.775677346,,,
,,,,,,,,,11.55135469,5.775677346,,,
,,,,,,,,,11.55135469,5.775677346,,,
,,,,,,,,,11.55135469,5.775677346,,,
,,,,,,,,,12.11315253,6.056576267,,,
,,,,,,,,,12.11315253,6.056576267,,,
,,,,,,,,,12.11315253,6.056576267,,,
,,,,,,,,,12.11315253,6.056576267,,,
,,,,,,,,,12.11315253,6.056576267,,,
,,,,,,,,,11.72340407,5.861702035,,,
,,,,,,,,,11.72340407,5.861702035,,,
,,,,,,,,,11.72340407,5.861702035,,,
,,,,,,,,,11.72340407,5.861702035,,,
,,,,,,,,,11.72340407,5.861702035,,,
,,,,,,,,,11.03479894,5.517399469,,,
,,,,,,,,,11.03479894,5.517399469,,,
,,,,,,,,,11.03479894,5.517399469,,,
,,,,,,,,,11.03479894,5.517399469,,,
,,,,,,,,,11.03479894,5.517399469,,,
,,,,,,,,,11.0507271,5.525363548,,,
,,,,,,,,,11.0507271,5.525363548,,,
,,,,,,,,,11.0507271,5.525363548,,,
,,,,,,,,,11.0507271,5.525363548,,,
,,,,,,,,,11.0507271,5.525363548,,,
,,,,,,,,,10.85143185,5.425715924,,,
,,,,,,,,,10.85143185,5.425715924,,,
,,,,,,,,,10.85143185,5.425715924,,,
,,,,,,,,,10.85143185,5.425715924,,,
,,,,,,,,,10.85143185,5.425715924,,,
,,,,,,,,,11.17253268,5.586266339,,,
,,,,,,,,,11.17253268,5.586266339,,,
,,,,,,,,,11.17253268,5.586266339,,,
,,,,,,,,,11.17253268,5.586266339,,,
,,,,,,,,,11.17253268,5.586266339,,,
,,,,,,,,,11.27798764,5.638993821,,,
,,,,,,,,,11.27798764,5.638993821,,,
,,,,,,,,,11.27798764,5.638993821,,,
,,,,,,,,,11.27798764,5.638993821,,,
,,,,,,,,,11.27798764,5.638993821,,,
,,,,,,,,,11.47672487,5.738362433,,,
,,,,,,,,,11.47672487,5.738362433,,,
,,,,,,,,,11.47672487,5.738362433,,,
,,,,,,,,,11.47672487,5.738362433,,,
,,,,,,,,,11.47672487,5.738362433,,,
,,,,,,,,,11.15648348,5.578241742,,,
,,,,,,,,,11.15648348,5.578241742,,,
,,,,,,,,,11.15648348,5.578241742,,,
,,,,,,,,,11.15648348,5.578241742,,,
,,,,,,,,,11.15648348,5.578241742,,,
,,,,,,,,,11.13810855,5.569054277,,,
,,,,,,,,,11.13810855,5.569054277,,,
,,,,,,,,,11.13810855,5.569054277,,,
,,,,,,,,,11.13810855,5.569054277,,,
,,,,,,,,,11.13810855,5.569054277,,,
,,,,,,,,,11.33476563,5.667382816,,,
,,,,,,,,,11.33476563,5.667382816,,,
,,,,,,,,,11.33476563,5.667382816,,,
,,,,,,,,,11.33476563,5.667382816,,,
,,,,,,,,,11.33476563,5.667382816,,,
,,,,,,,,,10.68438575,5.342192875,,,
,,,,,,,,,10.68438575,5.342192875,,,
,,,,,,,,,10.68438575,5.342192875,,,
,,,,,,,,,10.68438575,5.342192875,,,
,,,,,,,,,10.68438575,5.342192875,,,
,,,,,,,,,11.37764942,5.688824708,,,
,,,,,,,,,11.37764942,5.688824708,,,
,,,,,,,,,11.37764942,5.688824708,,,
,,,,,,,,,11.37764942,5.688824708,,,
,,,,,,,,,11.37764942,5.688824708,,,
,,,,,,,,,10.73950697,5.369753483,,,
,,,,,,,,,10.73950697,5.369753483,,,
,,,,,,,,,10.73950697,5.369753483,,,
,,,,,,,,,10.73950697,5.369753483,,,
,,,,,,,,,10.73950697,5.369753483,,,
,,,,,,,,,10.37770058,5.188850289,,,
,,,,,,,,,10.37770058,5.188850289,,,
,,,,,,,,,10.37770058,5.188850289,,,
,,,,,,,,,10.37770058,5.188850289,,,
,,,,,,,,,10.37770058,5.188850289,,,
,,,,,,,,,10.97117247,5.485586235,,,
,,,,,,,,,10.97117247,5.485586235,,,
,,,,,,,,,10.97117247,5.485586235,,,
,,,,,,,,,10.97117247,5.485586235,,,
,,,,,,,,,10.97117247,5.485586235,,,
,,,,,,,,,11.2108504,5.605425199,,,
,,,,,,,,,11.2108504,5.605425199,,,
,,,,,,,,,11.2108504,5.605425199,,,
,,,,,,,,,11.2108504,5.605425199,,,
,,,,,,,,,11.2108504,5.605425199,,,
,,,,,,,,,11.2145914,5.607295701,,,
,,,,,,,,,11.2145914,5.607295701,,,
,,,,,,,,,11.2145914,5.607295701,,,
,,,,,,,,,11.2145914,5.607295701,,,
,,,,,,,,,11.2145914,5.607295701,,,
,,,,,,,,,11.44722134,5.723610668,,,
,,,,,,,,,11.44722134,5.723610668,,,
,,,,,,,,,11.44722134,5.723610668,,,
,,,,,,,,,11.44722134,5.723610668,,,
,,,,,,,,,11.44722134,5.723610668,,,
,,,,,,,,,11.37936597,5.689682984,,,
,,,,,,,,,11.37936597,5.689682984,,,
,,,,,,,,,11.37936597,5.689682984,,,
,,,,,,,,,11.37936597,5.689682984,,,
,,,,,,,,,11.37936597,5.689682984,,,
,,,,,,,,,10.88734397,5.443671984,,,
,,,,,,,,,10.88734397,5.443671984,,,
,,,,,,,,,10.88734397,5.443671984,,,
,,,,,,,,,10.88734397,5.443671984,,,
,,,,,,,,,10.88734397,5.443671984,,,
,,,,,,,,,10.86681634,5.43340817,,,
,,,,,,,,,10.86681634,5.43340817,,,
,,,,,,,,,10.86681634,5.43340817,,,
,,,,,,,,,10.86681634,5.43340817,,,
,,,,,,,,,10.86681634,5.43340817,,,
,,,,,,,,,10.87687674,5.438438372,,,
,,,,,,,,,10.87687674,5.438438372,,,
,,,,,,,,,10.87687674,5.438438372,,,
,,,,,,,,,10.87687674,5.438438372,,,
,,,,,,,,,10.87687674,5.438438372,,,
,,,,,,,,,10.8656483,5.432824148,,,
,,,,,,,,,10.8656483,5.432824148,,,
,,,,,,,,,10.8656483,5.432824148,,,
,,,,,,,,,10.8656483,5.432824148,,,
,,,,,,,,,10.8656483,5.432824148,,,
,,,,,,,,,11.31300323,5.656501614,,,
,,,,,,,,,11.31300323,5.656501614,,,
,,,,,,,,,11.31300323,5.656501614,,,
,,,,,,,,,11.31300323,5.656501614,,,
,,,,,,,,,11.31300323,5.656501614,,,
,,,,,,,,,11.31595515,5.657977576,,,
,,,,,,,,,11.31595515,5.657977576,,,
,,,,,,,,,11.31595515,5.657977576,,,
,,,,,,,,,11.31595515,5.657977576,,,
,,,,,,,,,11.31595515,5.657977576,,,
,,,,,,,,,11.31340276,5.656701378,,,
,,,,,,,,,11.31340276,5.656701378,,,
,,,,,,,,,11.31340276,5.656701378,,,
,,,,,,,,,11.31340276,5.656701378,,,
,,,,,,,,,11.31340276,5.656701378,,,
,,,,,,,,,10.74947941,5.374739706,,,
,,,,,,,,,10.74947941,5.374739706,,,
,,,,,,,,,10.74947941,5.374739706,,,
,,,,,,,,,10.74947941,5.374739706,,,
,,,,,,,,,10.74947941,5.374739706,,,
,,,,,,,,,10.73691272,5.368456359,,,
,,,,,,,,,10.73691272,5.368456359,,,
,,,,,,,,,10.73691272,5.368456359,,,
,,,,,,,,,10.73691272,5.368456359,,,
,,,,,,,,,10.73691272,5.368456359,,,
,,,,,,,,,10.84168576,5.420842882,,,
,,,,,,,,,10.84168576,5.420842882,,,
,,,,,,,,,10.84168576,5.420842882,,,
,,,,,,,,,10.84168576,5.420842882,,,
,,,,,,,,,10.84168576,5.420842882,,,
,,,,,,,,,11.0370029,5.518501449,,,
,,,,,,,,,11.0370029,5.518501449,,,
,,,,,,,,,11.0370029,5.518501449,,,
,,,,,,,,,11.0370029,5.518501449,,,
,,,,,,,,,11.0370029,5.518501449,,,
,,,,,,,,,11.54512274,5.772561372,,,
,,,,,,,,,11.54512274,5.772561372,,,
,,,,,,,,,11.54512274,5.772561372,,,
,,,,,,,,,11.54512274,5.772561372,,,
,,,,,,,,,11.54512274,5.772561372,,,
,,,,,,,,,11.15029861,5.575149303,,,
,,,,,,,,,11.15029861,5.575149303,,,
,,,,,,,,,11.15029861,5.575149303,,,
,,,,,,,,,11.15029861,5.575149303,,,
,,,,,,,,,11.15029861,5.575149303,,,
,,,,,,,,,10.77823387,5.389116933,,,
,,,,,,,,,10.77823387,5.389116933,,,
,,,,,,,,,10.77823387,5.389116933,,,
,,,,,,,,,10.77823387,5.389116933,,,
,,,,,,,,,10.77823387,5.389116933,,,
,,,,,,,,,10.77211276,5.386056381,,,
,,,,,,,,,10.77211276,5.386056381,,,
,,,,,,,,,10.77211276,5.386056381,,,
,,,,,,,,,10.77211276,5.386056381,,,
,,,,,,,,,10.77211276,5.386056381,,,
,,,,,,,,,10.54100225,5.270501125,,,
,,,,,,,,,10.54100225,5.270501125,,,
,,,,,,,,,10.54100225,5.270501125,,,
,,,,,,,,,10.54100225,5.270501125,,,
,,,,,,,,,10.54100225,5.270501125,,,
,,,,,,,,,10.53330042,5.266650209,,,
,,,,,,,,,10.53330042,5.266650209,,,
,,,,,,,,,10.53330042,5.266650209,,,
,,,,,,,,,10.53330042,5.266650209,,,
,,,,,,,,,10.53330042,5.266650209,,,
,,,,,,,,,11.18252644,5.591263218,,,
,,,,,,,,,11.18252644,5.591263218,,,
,,,,,,,,,11.18252644,5.591263218,,,
,,,,,,,,,11.18252644,5.591263218,,,
,,,,,,,,,11.18252644,5.591263218,,,
,,,,,,,,,11.07314467,5.536572333,,,
,,,,,,,,,11.07314467,5.536572333,,,
,,,,,,,,,11.07314467,5.536572333,,,
,,,,,,,,,11.07314467,5.536572333,,,
,,,,,,,,,11.07314467,5.536572333,,,
,,,,,,,,,11.07815047,5.539075234,,,
,,,,,,,,,11.07815047,5.539075234,,,
,,,,,,,,,11.07815047,5.539075234,,,
,,,,,,,,,11.07815047,5.539075234,,,
,,,,,,,,,11.07815047,5.539075234,,,
,,,,,,,,,10.96337539,5.481687696,,,
,,,,,,,,,10.96337539,5.481687696,,,
,,,,,,,,,10.96337539,5.481687696,,,
,,,,,,,,,10.96337539,5.481687696,,,
,,,,,,,,,10.96337539,5.481687696,,,
,,,,,,,,,10.83255309,5.416276547,,,
,,,,,,,,,10.83255309,5.416276547,,,
,,,,,,,,,10.83255309,5.416276547,,,
,,,,,,,,,10.83255309,5.416276547,,,
,,,,,,,,,10.83255309,5.416276547,,,
,,,,,,,,,10.32432566,5.162162828,,,
,,,,,,,,,10.32432566,5.162162828,,,
,,,,,,,,,10.32432566,5.162162828,,,
,,,,,,,,,10.32432566,5.162162828,,,
,,,,,,,,,10.32432566,5.162162828,,,
,,,,,,,,,10.32886182,5.16443091,,,
,,,,,,,,,10.32886182,5.16443091,,,
,,,,,,,,,10.32886182,5.16443091,,,
,,,,,,,,,10.32886182,5.16443091,,,
,,,,,,,,,10.32886182,5.16443091,,,
,,,,,,,,,10.52960657,5.264803286,,,
,,,,,,,,,10.52960657,5.264803286,,,
,,,,,,,,,10.52960657,5.264803286,,,
,,,,,,,,,10.52960657,5.264803286,,,
,,,,,,,,,10.52960657,5.264803286,,,
,,,,,,,,,10.7629119,5.38145595,,,
,,,,,,,,,10.7629119,5.38145595,,,
,,,,,,,,,10.7629119,5.38145595,,,
,,,,,,,,,10.7629119,5.38145595,,,
,,,,,,,,,10.7629119,5.38145595,,,
,,,,,,,,,10.9365045,5.46825225,,,
,,,,,,,,,10.9365045,5.46825225,,,
,,,,,,,,,10.9365045,5.46825225,,,
,,,,,,,,,10.9365045,5.46825225,,,
,,,,,,,,,10.9365045,5.46825225,,,
,,,,,,,,,11.07427463,5.537137315,,,
,,,,,,,,,11.07427463,5.537137315,,,
,,,,,,,,,11.07427463,5.537137315,,,
,,,,,,,,,11.07427463,5.537137315,,,
,,,,,,,,,11.07427463,5.537137315,,,
,,,,,,,,,10.68598527,5.342992636,,,
,,,,,,,,,10.68598527,5.342992636,,,
,,,,,,,,,10.68598527,5.342992636,,,
,,,,,,,,,10.68598527,5.342992636,,,
,,,,,,,,,10.68598527,5.342992636,,,
,,,,,,,,,10.6858572,5.342928599,,,
,,,,,,,,,10.6858572,5.342928599,,,
,,,,,,,,,10.6858572,5.342928599,,,
,,,,,,,,,10.6858572,5.342928599,,,
,,,,,,,,,10.6858572,5.342928599,,,
,,,,,,,,,10.6943297,5.347164849,,,
,,,,,,,,,10.6943297,5.347164849,,,
,,,,,,,,,10.6943297,5.347164849,,,
,,,,,,,,,10.6943297,5.347164849,,,
,,,,,,,,,10.6943297,5.347164849,,,
,,,,,,,,,10.68755489,5.343777443,,,
,,,,,,,,,10.68755489,5.343777443,,,
,,,,,,,,,10.68755489,5.343777443,,,
,,,,,,,,,10.68755489,5.343777443,,,
,,,,,,,,,10.68755489,5.343777443,,,
,,,,,,,,,10.97112557,5.485562783,,,
,,,,,,,,,10.97112557,5.485562783,,,
,,,,,,,,,10.97112557,5.485562783,,,
,,,,,,,,,10.97112557,5.485562783,,,
,,,,,,,,,10.97112557,5.485562783,,,
,,,,,,,,,11.08255787,5.541278935,,,
,,,,,,,,,11.08255787,5.541278935,,,
,,,,,,,,,11.08255787,5.541278935,,,
,,,,,,,,,11.08255787,5.541278935,,,
,,,,,,,,,11.08255787,5.541278935,,,
,,,,,,,,,11.09254116,5.546270582,,,
,,,,,,,,,11.09254116,5.546270582,,,
,,,,,,,,,11.09254116,5.546270582,,,
,,,,,,,,,11.09254116,5.546270582,,,
,,,,,,,,,11.09254116,5.546270582,,,
,,,,,,,,,10.47489394,5.237446968,,,
,,,,,,,,,10.47489394,5.237446968,,,
,,,,,,,,,10.47489394,5.237446968,,,
,,,,,,,,,10.47489394,5.237446968,,,
,,,,,,,,,10.47489394,5.237446968,,,
,,,,,,,,,10.96106283,5.480531417,,,
,,,,,,,,,10.96106283,5.480531417,,,
,,,,,,,,,10.96106283,5.480531417,,,
,,,,,,,,,10.96106283,5.480531417,,,
