POD,CPU,MEMORY,TIME,,,,,,,Resource,,,
front-end-55b89655c7-nsj6b,179,106Mi,1703275918,front-end-55b89655c7-26qcc,162,107Mi,1703275918,341,421.0195746,210.5097873,,,
front-end-55b89655c7-nsj6b,168,108Mi,1703275939,front-end-55b89655c7-26qcc,170,107Mi,1703275939,338,444.7105051,222.3552525,,,
front-end-55b89655c7-nsj6b,168,108Mi,1703275961,front-end-55b89655c7-26qcc,144,108Mi,1703275961,312,428.1538563,214.0769282,,,
front-end-55b89655c7-nsj6b,155,108Mi,1703275982,front-end-55b89655c7-26qcc,147,109Mi,1703275982,302,429.1599151,214.5799576,,,
front-end-55b89655c7-nsj6b,173,105Mi,1703276003,front-end-55b89655c7-26qcc,147,109Mi,1703276003,320,396.8310774,198.4155387,,,
front-end-55b89655c7-nsj6b,161,105Mi,1703276025,front-end-55b89655c7-26qcc,147,108Mi,1703276025,308,431.4522517,215.7261258,,,
front-end-55b89655c7-nsj6b,198,105Mi,1703276046,front-end-55b89655c7-26qcc,171,108Mi,1703276046,369,410.9578057,205.4789028,,,
front-end-55b89655c7-nsj6b,148,108Mi,1703276068,front-end-55b89655c7-26qcc,160,109Mi,1703276068,308,447.8114478,223.9057239,,,
front-end-55b89655c7-nsj6b,159,106Mi,1703276089,front-end-55b89655c7-26qcc,199,107Mi,1703276089,358,426.7676768,213.3838384,,,
front-end-55b89655c7-nsj6b,171,107Mi,1703276110,front-end-55b89655c7-26qcc,148,107Mi,1703276110,319,406.8694583,203.4347291,,,
front-end-55b89655c7-nsj6b,171,107Mi,1703276132,front-end-55b89655c7-26qcc,151,107Mi,1703276132,322,402.3569024,201.1784512,,,
front-end-55b89655c7-nsj6b,169,108Mi,1703276153,front-end-55b89655c7-26qcc,154,108Mi,1703276153,323,421.7171717,210.8585859,,,
front-end-55b89655c7-nsj6b,159,106Mi,1703276175,front-end-55b89655c7-26qcc,154,108Mi,1703276175,313,428.2235088,214.1117544,,,
front-end-55b89655c7-nsj6b,180,105Mi,1703276196,front-end-55b89655c7-26qcc,145,111Mi,1703276196,325,409.790534,204.895267,,,
front-end-55b89655c7-nsj6b,130,107Mi,1703276218,front-end-55b89655c7-26qcc,151,110Mi,1703276218,281,427.6094276,213.8047138,,,
front-end-55b89655c7-nsj6b,162,106Mi,1703276239,front-end-55b89655c7-26qcc,137,112Mi,1703276239,299,394.7811448,197.3905724,,,
front-end-55b89655c7-nsj6b,158,108Mi,1703276261,front-end-55b89655c7-26qcc,154,109Mi,1703276261,312,400.6700658,200.3350329,,,
front-end-55b89655c7-nsj6b,175,106Mi,1703276282,front-end-55b89655c7-26qcc,142,107Mi,1703276282,317,378.7878788,189.3939394,,,
front-end-55b89655c7-nsj6b,160,106Mi,1703276303,front-end-55b89655c7-26qcc,157,107Mi,1703276303,317,416.6666667,208.3333333,,,
front-end-55b89655c7-nsj6b,160,106Mi,1703276325,front-end-55b89655c7-26qcc,142,106Mi,1703276325,302,399.4296647,199.7148324,,,
front-end-55b89655c7-nsj6b,184,104Mi,1703276346,front-end-55b89655c7-26qcc,151,107Mi,1703276346,335,410.0369869,205.0184935,,,
front-end-55b89655c7-nsj6b,142,106Mi,1703276368,front-end-55b89655c7-26qcc,128,108Mi,1703276368,270,424.2424242,212.1212121,,,
front-end-55b89655c7-nsj6b,160,109Mi,1703276389,front-end-55b89655c7-26qcc,156,110Mi,1703276389,316,409.0909091,204.5454545,,,
front-end-55b89655c7-nsj6b,130,105Mi,1703276411,front-end-55b89655c7-26qcc,122,108Mi,1703276411,252,396.5276325,198.2638163,,,
front-end-55b89655c7-nsj6b,139,104Mi,1703276432,front-end-55b89655c7-26qcc,118,109Mi,1703276432,257,376.3161408,188.1580704,,,
,,,,,,,,,350.0519925,175.0259963,,,
,,,,,,,,,246.1087299,123.054365,,,
,,,,,,,,,270.7196029,135.3598015,,,
,,,,,,,,,3.367003367,1.683501684,,,
,,,,,,,,,3.367003367,1.683501684,,,
,,,,,,,,,106.9471973,53.47359863,,,
,,,,,,,,,108.6164477,54.30822385,,,
,,,,,,,,,108.6164477,54.30822385,,,
,,,,,,,,,108.6164477,54.30822385,,,
,,,,,,,,,108.6164477,54.30822385,,,
,,,,,,,,,108.6164477,54.30822385,,,
,,,,,,,,,100.7341908,50.36709539,,,
,,,,,,,,,100.7341908,50.36709539,,,
,,,,,,,,,100.7341908,50.36709539,,,
,,,,,,,,,100.7341908,50.36709539,,,
,,,,,,,,,100.7341908,50.36709539,,,
,,,,,,,,,98.09465634,49.04732817,,,
,,,,,,,,,98.09465634,49.04732817,,,
,,,,,,,,,98.09465634,49.04732817,,,
,,,,,,,,,98.09465634,49.04732817,,,
