POD,CPU,MEMORY,TIME,Resource,,,
,,,,,,42710,57069.80825
frontend-767bb5b6b6-tktzp,93,32Mi,1703005161,117.3200545,,,
frontend-767bb5b6b6-tktzp,100,32Mi,1703005183,120.7318021,,,
frontend-767bb5b6b6-tktzp,100,32Mi,1703005204,132.8150875,,,
frontend-767bb5b6b6-tktzp,104,32Mi,1703005227,133.425952,,,
frontend-767bb5b6b6-tktzp,110,32Mi,1703005248,138.8117725,,,
frontend-767bb5b6b6-tktzp,91,32Mi,1703005270,146.7422978,,,
frontend-767bb5b6b6-tktzp,103,32Mi,1703005292,125.8320762,,,
frontend-767bb5b6b6-tktzp,103,32Mi,1703005314,132.2660981,,,
frontend-767bb5b6b6-tktzp,93,32Mi,1703005336,138.1402181,,,
frontend-767bb5b6b6-tktzp,97,32Mi,1703005358,124.5319476,,,
frontend-767bb5b6b6-tktzp,98,32Mi,1703005379,129.8127804,,,
frontend-767bb5b6b6-tktzp,98,32Mi,1703005401,131.0598137,,,
frontend-767bb5b6b6-tktzp,91,32Mi,1703005423,131.0598137,,,
frontend-767bb5b6b6-tktzp,95,32Mi,1703005445,122.1957755,,,
frontend-767bb5b6b6-tktzp,80,32Mi,1703005467,126.7621365,,,
frontend-767bb5b6b6-tktzp,97,32Mi,1703005489,120.2932157,,,
frontend-767bb5b6b6-tktzp,88,32Mi,1703005511,122.1922731,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703005533,119.047619,,,
frontend-767bb5b6b6-tktzp,97,30Mi,1703005555,123.5137633,,,
frontend-767bb5b6b6-tktzp,88,30Mi,1703005576,129.0698025,,,
frontend-767bb5b6b6-tktzp,95,30Mi,1703005598,118.4563533,,,
frontend-767bb5b6b6-tktzp,82,30Mi,1703005620,126.4955188,,,
frontend-767bb5b6b6-tktzp,107,30Mi,1703005642,119.7530862,,,
frontend-767bb5b6b6-tktzp,98,30Mi,1703005664,127.5831087,,,
frontend-767bb5b6b6-tktzp,90,30Mi,1703005686,128.9308176,,,
frontend-767bb5b6b6-tktzp,88,30Mi,1703005707,123.8089561,,,
frontend-767bb5b6b6-tktzp,105,30Mi,1703005729,117.2010406,,,
frontend-767bb5b6b6-tktzp,95,30Mi,1703005751,127.1338724,,,
frontend-767bb5b6b6-tktzp,95,30Mi,1703005773,129.3800539,,,
frontend-767bb5b6b6-tktzp,82,30Mi,1703005795,127.0416157,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703005817,121.5890371,,,
frontend-767bb5b6b6-tktzp,97,30Mi,1703005838,122.0074596,,,
frontend-767bb5b6b6-tktzp,97,30Mi,1703005860,129.0956265,,,
frontend-767bb5b6b6-tktzp,104,30Mi,1703005882,128.8664449,,,
frontend-767bb5b6b6-tktzp,89,30Mi,1703005904,138.1211614,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703005926,122.1315654,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703005947,124.0378702,,,
frontend-767bb5b6b6-tktzp,86,29Mi,1703005969,124.1089745,,,
frontend-767bb5b6b6-tktzp,91,29Mi,1703005991,115.8210508,,,
frontend-767bb5b6b6-tktzp,93,29Mi,1703006013,121.6492703,,,
frontend-767bb5b6b6-tktzp,78,29Mi,1703006035,123.9361085,,,
frontend-767bb5b6b6-tktzp,78,29Mi,1703006057,118.8681447,,,
frontend-767bb5b6b6-tktzp,72,30Mi,1703006078,106.2816838,,,
frontend-767bb5b6b6-tktzp,83,30Mi,1703006100,97.73197943,,,
frontend-767bb5b6b6-tktzp,94,30Mi,1703006122,110.8273435,,,
frontend-767bb5b6b6-tktzp,107,30Mi,1703006144,111.8598383,,,
frontend-767bb5b6b6-tktzp,80,30Mi,1703006166,127.5831087,,,
frontend-767bb5b6b6-tktzp,90,30Mi,1703006188,126.2347518,,,
frontend-767bb5b6b6-tktzp,97,30Mi,1703006210,121.4446179,,,
frontend-767bb5b6b6-tktzp,89,30Mi,1703006231,128.8310998,,,
frontend-767bb5b6b6-tktzp,110,30Mi,1703006253,120.8183447,,,
frontend-767bb5b6b6-tktzp,87,30Mi,1703006275,132.9739443,,,
frontend-767bb5b6b6-tktzp,88,30Mi,1703006297,128.4815813,,,
frontend-767bb5b6b6-tktzp,94,30Mi,1703006319,119.0158189,,,
frontend-767bb5b6b6-tktzp,92,30Mi,1703006341,125.0781802,,,
frontend-767bb5b6b6-tktzp,103,30Mi,1703006362,122.9687335,,,
frontend-767bb5b6b6-tktzp,91,30Mi,1703006384,129.8292902,,,
frontend-767bb5b6b6-tktzp,89,30Mi,1703006406,128.4815813,,,
frontend-767bb5b6b6-tktzp,92,29Mi,1703006428,121.4347522,,,
frontend-767bb5b6b6-tktzp,96,29Mi,1703006450,122.9477793,,,
frontend-767bb5b6b6-tktzp,108,29Mi,1703006472,128.555398,,,
frontend-767bb5b6b6-tktzp,86,29Mi,1703006494,132.9739443,,,
frontend-767bb5b6b6-tktzp,111,29Mi,1703006516,130.2785265,,,
frontend-767bb5b6b6-tktzp,91,29Mi,1703006537,132.8440923,,,
frontend-767bb5b6b6-tktzp,90,29Mi,1703006559,124.3702401,,,
frontend-767bb5b6b6-tktzp,115,29Mi,1703006581,123.0524978,,,
frontend-767bb5b6b6-tktzp,93,29Mi,1703006603,132.9739443,,,
frontend-767bb5b6b6-tktzp,97,30Mi,1703006625,133.8724169,,,
frontend-767bb5b6b6-tktzp,112,30Mi,1703006647,127.4207518,,,
frontend-767bb5b6b6-tktzp,88,30Mi,1703006669,135.6693621,,,
frontend-767bb5b6b6-tktzp,105,30Mi,1703006691,133.4231806,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703006712,128.9572791,,,
frontend-767bb5b6b6-tktzp,99,30Mi,1703006734,126.8230896,,,
frontend-767bb5b6b6-tktzp,92,30Mi,1703006756,132.4989586,,,
frontend-767bb5b6b6-tktzp,101,30Mi,1703006778,123.5010213,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703006800,134.8857332,,,
frontend-767bb5b6b6-tktzp,80,30Mi,1703006822,124.1964245,,,
frontend-767bb5b6b6-tktzp,90,30Mi,1703006843,116.5434724,,,
frontend-767bb5b6b6-tktzp,86,30Mi,1703006865,119.3580806,,,
frontend-767bb5b6b6-tktzp,90,30Mi,1703006887,114.8839375,,,
frontend-767bb5b6b6-tktzp,96,30Mi,1703006909,120.9096159,,,
frontend-767bb5b6b6-tktzp,96,30Mi,1703006931,122.1922731,,,
frontend-767bb5b6b6-tktzp,79,30Mi,1703006953,126.6846361,,,
frontend-767bb5b6b6-tktzp,90,30Mi,1703006974,120.8545197,,,
frontend-767bb5b6b6-tktzp,87,30Mi,1703006996,118.5896859,,,
frontend-767bb5b6b6-tktzp,80,30Mi,1703007018,116.6599274,,,
frontend-767bb5b6b6-tktzp,102,29Mi,1703007040,110.340805,,,
frontend-767bb5b6b6-tktzp,78,29Mi,1703007062,120.8445642,,,
frontend-767bb5b6b6-tktzp,96,29Mi,1703007084,116.8014376,,,
frontend-767bb5b6b6-tktzp,80,29Mi,1703007106,118.5454835,,,
frontend-767bb5b6b6-tktzp,77,29Mi,1703007127,121.1682303,,,
frontend-767bb5b6b6-tktzp,89,29Mi,1703007149,104.5346647,,,
frontend-767bb5b6b6-tktzp,81,29Mi,1703007171,117.3470089,,,
frontend-767bb5b6b6-tktzp,83,28Mi,1703007193,112.3043673,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1703007215,111.4252392,,,
frontend-767bb5b6b6-tktzp,79,28Mi,1703007237,115.4537287,,,
frontend-767bb5b6b6-tktzp,102,28Mi,1703007259,114.5552561,,,
frontend-767bb5b6b6-tktzp,88,29Mi,1703007280,113.9311403,,,
frontend-767bb5b6b6-tktzp,83,29Mi,1703007302,120.2114001,,,
frontend-767bb5b6b6-tktzp,80,29Mi,1703007324,116.619147,,,
frontend-767bb5b6b6-tktzp,83,29Mi,1703007346,107.532919,,,
frontend-767bb5b6b6-tktzp,95,29Mi,1703007368,112.6995698,,,
frontend-767bb5b6b6-tktzp,84,29Mi,1703007390,115.902965,,,
frontend-767bb5b6b6-tktzp,80,29Mi,1703007412,117.6999102,,,
frontend-767bb5b6b6-tktzp,85,29Mi,1703007433,108.2439445,,,
frontend-767bb5b6b6-tktzp,82,29Mi,1703007455,112.3278707,,,
frontend-767bb5b6b6-tktzp,103,29Mi,1703007477,111.1440024,,,
frontend-767bb5b6b6-tktzp,78,29Mi,1703007499,121.2938005,,,
frontend-767bb5b6b6-tktzp,89,29Mi,1703007521,118.1491465,,,
frontend-767bb5b6b6-tktzp,98,29Mi,1703007543,117.4354227,,,
frontend-767bb5b6b6-tktzp,97,29Mi,1703007564,128.8863869,,,
frontend-767bb5b6b6-tktzp,99,29Mi,1703007586,133.1393673,,,
frontend-767bb5b6b6-tktzp,84,29Mi,1703007608,131.0677458,,,
frontend-767bb5b6b6-tktzp,98,29Mi,1703007630,121.3388125,,,
frontend-767bb5b6b6-tktzp,100,29Mi,1703007652,122.8254055,,,
frontend-767bb5b6b6-tktzp,84,29Mi,1703007674,134.2304079,,,
frontend-767bb5b6b6-tktzp,84,29Mi,1703007695,121.0312322,,,
frontend-767bb5b6b6-tktzp,99,29Mi,1703007717,114.2800178,,,
frontend-767bb5b6b6-tktzp,77,29Mi,1703007739,126.1925148,,,
frontend-767bb5b6b6-tktzp,79,29Mi,1703007761,120.8581259,,,
frontend-767bb5b6b6-tktzp,95,29Mi,1703007783,106.3606225,,,
frontend-767bb5b6b6-tktzp,75,29Mi,1703007805,112.7583109,,,
frontend-767bb5b6b6-tktzp,98,29Mi,1703007827,111.8598383,,,
frontend-767bb5b6b6-tktzp,80,29Mi,1703007849,120.1342209,,,
frontend-767bb5b6b6-tktzp,94,29Mi,1703007871,116.858236,,,
frontend-767bb5b6b6-tktzp,100,29Mi,1703007892,124.7924182,,,
frontend-767bb5b6b6-tktzp,83,29Mi,1703007914,132.4976737,,,
frontend-767bb5b6b6-tktzp,87,29Mi,1703007936,124.4524973,,,
frontend-767bb5b6b6-tktzp,96,29Mi,1703007958,116.6237392,,,
frontend-767bb5b6b6-tktzp,76,29Mi,1703007980,127.1230252,,,
frontend-767bb5b6b6-tktzp,85,29Mi,1703008001,119.813919,,,
frontend-767bb5b6b6-tktzp,85,29Mi,1703008023,110.0867663,,,
frontend-767bb5b6b6-tktzp,93,29Mi,1703008045,113.8261976,,,
frontend-767bb5b6b6-tktzp,97,29Mi,1703008067,126.5638788,,,
frontend-767bb5b6b6-tktzp,93,29Mi,1703008089,123.539982,,,
frontend-767bb5b6b6-tktzp,93,29Mi,1703008111,127.1338724,,,
frontend-767bb5b6b6-tktzp,100,32Mi,1703008133,123.7412919,,,
frontend-767bb5b6b6-tktzp,89,32Mi,1703008155,133.5583198,,,
frontend-767bb5b6b6-tktzp,96,32Mi,1703008176,121.2729962,,,
frontend-767bb5b6b6-tktzp,115,32Mi,1703008198,128.0963261,,,
frontend-767bb5b6b6-tktzp,70,32Mi,1703008220,134.7708895,,,
frontend-767bb5b6b6-tktzp,98,32Mi,1703008242,126.2353998,,,
frontend-767bb5b6b6-tktzp,90,32Mi,1703008264,120.6573839,,,
frontend-767bb5b6b6-tktzp,93,32Mi,1703008286,120.0796303,,,
frontend-767bb5b6b6-tktzp,93,32Mi,1703008308,127.0562216,,,
frontend-767bb5b6b6-tktzp,82,32Mi,1703008330,120.9170003,,,
frontend-767bb5b6b6-tktzp,90,32Mi,1703008351,115.7169145,,,
frontend-767bb5b6b6-tktzp,94,32Mi,1703008373,119.1136979,,,
frontend-767bb5b6b6-tktzp,94,32Mi,1703008395,125.0540786,,,
frontend-767bb5b6b6-tktzp,91,32Mi,1703008417,125.468756,,,
frontend-767bb5b6b6-tktzp,84,32Mi,1703008439,121.7237298,,,
frontend-767bb5b6b6-tktzp,100,32Mi,1703008461,114.4579791,,,
frontend-767bb5b6b6-tktzp,94,32Mi,1703008482,123.539982,,,
frontend-767bb5b6b6-tktzp,94,32Mi,1703008504,124.8876909,,,
frontend-767bb5b6b6-tktzp,85,32Mi,1703008526,125.756613,,,
frontend-767bb5b6b6-tktzp,95,32Mi,1703008548,116.9034538,,,
frontend-767bb5b6b6-tktzp,93,32Mi,1703008570,126.344548,,,
frontend-767bb5b6b6-tktzp,86,32Mi,1703008592,123.7602964,,,
frontend-767bb5b6b6-tktzp,82,32Mi,1703008613,117.270189,,,
frontend-767bb5b6b6-tktzp,106,32Mi,1703008635,111.3053829,,,
frontend-767bb5b6b6-tktzp,78,32Mi,1703008657,123.0907457,,,
frontend-767bb5b6b6-tktzp,90,32Mi,1703008679,119.4968553,,,
frontend-767bb5b6b6-tktzp,92,32Mi,1703008701,120.5866934,,,
frontend-767bb5b6b6-tktzp,92,32Mi,1703008723,121.802237,,,
frontend-767bb5b6b6-tktzp,100,32Mi,1703008745,126.3514008,,,
frontend-767bb5b6b6-tktzp,97,32Mi,1703008766,132.5487598,,,
frontend-767bb5b6b6-tktzp,92,32Mi,1703008788,129.9350714,,,
frontend-767bb5b6b6-tktzp,99,32Mi,1703008810,123.3598264,,,
frontend-767bb5b6b6-tktzp,93,32Mi,1703008832,132.2225484,,,
frontend-767bb5b6b6-tktzp,95,32Mi,1703008854,124.1949602,,,
frontend-767bb5b6b6-tktzp,95,32Mi,1703008876,126.7760188,,,
frontend-767bb5b6b6-tktzp,89,32Mi,1703008897,126.5804447,,,
frontend-767bb5b6b6-tktzp,98,32Mi,1703008919,119.9570132,,,
frontend-767bb5b6b6-tktzp,105,32Mi,1703008941,130.4917607,,,
frontend-767bb5b6b6-tktzp,89,32Mi,1703008963,131.1769991,,,
frontend-767bb5b6b6-tktzp,92,32Mi,1703008985,131.1769991,,,
frontend-767bb5b6b6-tktzp,87,32Mi,1703009007,123.0132291,,,
frontend-767bb5b6b6-tktzp,88,32Mi,1703009029,117.1058066,,,
frontend-767bb5b6b6-tktzp,99,32Mi,1703009051,118.8863196,,,
frontend-767bb5b6b6-tktzp,72,32Mi,1703009072,123.0907457,,,
frontend-767bb5b6b6-tktzp,91,32Mi,1703009094,116.3522013,,,
frontend-767bb5b6b6-tktzp,80,32Mi,1703009116,112.6186697,,,
frontend-767bb5b6b6-tktzp,82,32Mi,1703009138,114.7054523,,,
frontend-767bb5b6b6-tktzp,82,32Mi,1703009160,114.6283102,,,
frontend-767bb5b6b6-tktzp,95,32Mi,1703009182,110.7797306,,,
frontend-767bb5b6b6-tktzp,87,32Mi,1703009204,116.3522013,,,
frontend-767bb5b6b6-tktzp,84,32Mi,1703009225,118.5983827,,,
frontend-767bb5b6b6-tktzp,85,32Mi,1703009247,114.2917962,,,
frontend-767bb5b6b6-tktzp,85,32Mi,1703009269,114.1397139,,,
frontend-767bb5b6b6-tktzp,96,32Mi,1703009291,114.8471597,,,
frontend-767bb5b6b6-tktzp,90,32Mi,1703009313,119.4968553,,,
frontend-767bb5b6b6-tktzp,106,32Mi,1703009335,121.7430368,,,
frontend-767bb5b6b6-tktzp,90,32Mi,1703009357,133.8873584,,,
frontend-767bb5b6b6-tktzp,86,32Mi,1703009379,124.7172566,,,
frontend-767bb5b6b6-tktzp,102,32Mi,1703009400,118.35845,,,
frontend-767bb5b6b6-tktzp,101,32Mi,1703009422,125.9827795,,,
frontend-767bb5b6b6-tktzp,91,32Mi,1703009444,133.315423,,,
frontend-767bb5b6b6-tktzp,91,32Mi,1703009466,122.9502876,,,
frontend-767bb5b6b6-tktzp,99,32Mi,1703009488,121.689208,,,
frontend-767bb5b6b6-tktzp,96,32Mi,1703009510,132.2032233,,,
frontend-767bb5b6b6-tktzp,106,32Mi,1703009532,128.7316372,,,
frontend-767bb5b6b6-tktzp,106,32Mi,1703009554,135.2201258,,,
frontend-767bb5b6b6-tktzp,91,30Mi,1703009575,138.3647799,,,
frontend-767bb5b6b6-tktzp,96,30Mi,1703009597,126.3161785,,,
frontend-767bb5b6b6-tktzp,84,30Mi,1703009619,129.4666586,,,
frontend-767bb5b6b6-tktzp,91,30Mi,1703009641,119.2026845,,,
frontend-767bb5b6b6-tktzp,94,30Mi,1703009663,120.642441,,,
frontend-767bb5b6b6-tktzp,94,30Mi,1703009684,125.4459971,,,
frontend-767bb5b6b6-tktzp,94,30Mi,1703009706,125.342713,,,
frontend-767bb5b6b6-tktzp,91,30Mi,1703009728,125.4068586,,,
frontend-767bb5b6b6-tktzp,91,30Mi,1703009750,121.9949965,,,
frontend-767bb5b6b6-tktzp,116,30Mi,1703009772,121.9134234,,,
frontend-767bb5b6b6-tktzp,94,30Mi,1703009794,133.8724169,,,
frontend-767bb5b6b6-tktzp,86,30Mi,1703009816,135.2201258,,,
frontend-767bb5b6b6-tktzp,89,30Mi,1703009837,122.0192334,,,
frontend-767bb5b6b6-tktzp,109,30Mi,1703009859,119.3766223,,,
frontend-767bb5b6b6-tktzp,80,30Mi,1703009881,127.5831087,,,
frontend-767bb5b6b6-tktzp,111,30Mi,1703009903,124.8876909,,,
frontend-767bb5b6b6-tktzp,84,30Mi,1703009925,119.0373422,,,
frontend-767bb5b6b6-tktzp,92,30Mi,1703009947,122.3633352,,,
frontend-767bb5b6b6-tktzp,75,30Mi,1703009969,125.2030936,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703009990,114.3180575,,,
frontend-767bb5b6b6-tktzp,81,30Mi,1703010012,117.4335612,,,
frontend-767bb5b6b6-tktzp,81,30Mi,1703010034,115.734702,,,
frontend-767bb5b6b6-tktzp,92,30Mi,1703010056,109.2698892,,,
frontend-767bb5b6b6-tktzp,91,30Mi,1703010078,117.8604653,,,
frontend-767bb5b6b6-tktzp,85,30Mi,1703010100,121.7605985,,,
frontend-767bb5b6b6-tktzp,87,30Mi,1703010121,114.6959879,,,
frontend-767bb5b6b6-tktzp,78,30Mi,1703010143,116.5567585,,,
frontend-767bb5b6b6-tktzp,84,30Mi,1703010165,105.1928362,,,
frontend-767bb5b6b6-tktzp,85,30Mi,1703010187,113.0363528,,,
frontend-767bb5b6b6-tktzp,84,30Mi,1703010209,114.3715237,,,
frontend-767bb5b6b6-tktzp,86,30Mi,1703010230,113.4885671,,,
frontend-767bb5b6b6-tktzp,98,30Mi,1703010252,114.4471285,,,
frontend-767bb5b6b6-tktzp,74,30Mi,1703010274,120.3953279,,,
frontend-767bb5b6b6-tktzp,103,30Mi,1703010296,115.902965,,,
frontend-767bb5b6b6-tktzp,85,30Mi,1703010318,114.5533844,,,
frontend-767bb5b6b6-tktzp,102,30Mi,1703010340,114.7942233,,,
frontend-767bb5b6b6-tktzp,98,30Mi,1703010362,130.2785265,,,
frontend-767bb5b6b6-tktzp,93,30Mi,1703010384,128.032345,,,
