Resource,Cooling Time,Current Time,Replicas,Mode
0,0,0,0,0
295.0,1702483457.5090158,1702483457.5090158,vertical
265.0,1702483457.5090158,1702483478.8396513,vertical
238.75,1702483457.5090158,1702483499.9829261,vertical
238.75,1702483457.5090158,1702483521.1817012,vertical
256.25,1702483457.5090158,1702483542.3843207,vertical
242.31807175342905,1702483457.5090158,1702483563.797786,,vertical
240.55469736821118,1702483457.5090158,1702483585.2008684,,vertical
244.27798197795113,1702483457.5090158,1702483606.4179926,,vertical
244.78876830419173,1702483457.5090158,1702483627.717392,,vertical
244.13203252510675,1702483457.5090158,1702483648.9072225,,vertical
259.3770216784138,1702483457.5090158,1702483670.3814287,,vertical
258.7564850472087,1702483457.5090158,1702483691.5477881,,vertical
268.3885418648357,1702483457.5090158,1702483712.8327906,,vertical
264.0199727580485,1702483457.5090158,1702483734.0573564,,vertical
260.6778520652389,1702483457.5090158,1702483755.3751671,,vertical
251.10670277281938,1702483457.5090158,1702483776.720566,,vertical
251.89114406413898,1702483457.5090158,1702483798.018127,,vertical
243.91400953678084,1702483457.5090158,1702483819.2173684,,vertical
238.3256762805942,1702483457.5090158,1702483840.534718,,vertical
253.5623908941284,1702483457.5090158,1702483863.9294045,,vertical
332.68625013969086,1702483457.5090158,1702483884.8812153,,vertical
332.68625013969086,1702483457.5090158,1702483905.7144554,,vertical
377.10487941265706,1702483457.5090158,1702483927.0250864,,vertical
382.63406762642694,1702483948.2373297,1702483948.2373297,2,horizontal
401.3643827208026,1702483948.2373297,1702483969.615441,,vertical
330.2867717428768,1702483948.2373297,1702483991.2182121,,vertical
352.4420262548101,1702483948.2373297,1702484012.8968947,,vertical
324.1204951914428,1702483948.2373297,1702484034.6733828,,vertical
324.425927773708,1702483948.2373297,1702484056.3579686,,vertical
264.59636698298306,1702483948.2373297,1702484078.0103073,,vertical
194.5839751541968,1702483948.2373297,1702484099.8987894,,vertical
190.176637344088,1702483948.2373297,1702484121.552286,,vertical
186.56634470873618,1702483948.2373297,1702484143.2305028,,vertical
187.53097362432175,1702483948.2373297,1702484164.9281247,,vertical
181.29469831228147,1702483948.2373297,1702484186.6425228,,vertical
184.96375833714157,1702483948.2373297,1702484208.311917,,vertical
196.83241795464542,1702483948.2373297,1702484229.8930364,,vertical
200.01860750579408,1702483948.2373297,1702484251.38135,,vertical
196.5776948023423,1702483948.2373297,1702484273.0096135,,vertical
201.04008806200875,1702483948.2373297,1702484294.45472,,vertical
202.29487865859204,1702483948.2373297,1702484316.1836748,,vertical
219.46312003602057,1702483948.2373297,1702484337.6291704,,vertical
209.8743950847394,1702483948.2373297,1702484359.2334275,,vertical
213.44313397046915,1702483948.2373297,1702484380.6772268,,vertical
213.78093186174146,1702483948.2373297,1702484402.3139977,,vertical
213.09262812404415,1702483948.2373297,1702484423.9445727,,vertical
192.20598554243242,1702483948.2373297,1702484445.5769496,,vertical
193.9008690032441,1702483948.2373297,1702484467.165912,,vertical
189.2175910683244,1702483948.2373297,1702484488.8337588,,vertical
186.30042413651842,1702483948.2373297,1702484510.3692355,,vertical
