POD,CPU,MEMORY,TIME,Resource,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702969972,111.9281522,,,,
frontend-767bb5b6b6-tktzp,74,26Mi,1702969994,110.5839231,,,,
frontend-767bb5b6b6-tktzp,89,26Mi,1702970016,101.0842721,,,,
frontend-767bb5b6b6-tktzp,84,27Mi,1702970038,106.2344181,,,,
frontend-767bb5b6b6-tktzp,78,27Mi,1702970060,106.7176528,,,,
frontend-767bb5b6b6-tktzp,79,27Mi,1702970082,106.1005611,,,,
frontend-767bb5b6b6-tktzp,77,27Mi,1702970103,104.8622946,,,,
frontend-767bb5b6b6-tktzp,99,27Mi,1702970125,103.9574441,,,,
frontend-767bb5b6b6-tktzp,78,27Mi,1702970147,114.6856651,,,,
frontend-767bb5b6b6-tktzp,103,27Mi,1702970169,113.9046845,,,,
frontend-767bb5b6b6-tktzp,75,27Mi,1702970191,126.398928,,,,
frontend-767bb5b6b6-tktzp,92,27Mi,1702970213,127.0212653,,,,
frontend-767bb5b6b6-tktzp,106,27Mi,1702970235,128.4464896,,,,
frontend-767bb5b6b6-tktzp,87,27Mi,1702970257,133.4182482,,,,
frontend-767bb5b6b6-tktzp,95,27Mi,1702970279,132.2910387,,,,
frontend-767bb5b6b6-tktzp,82,27Mi,1702970301,127.969777,,,,
frontend-767bb5b6b6-tktzp,76,27Mi,1702970323,124.9226258,,,,
frontend-767bb5b6b6-tktzp,104,27Mi,1702970345,126.6323263,,,,
frontend-767bb5b6b6-tktzp,81,27Mi,1702970367,124.720938,,,,
frontend-767bb5b6b6-tktzp,111,27Mi,1702970389,124.4913284,,,,
frontend-767bb5b6b6-tktzp,79,26Mi,1702970410,136.5344578,,,,
frontend-767bb5b6b6-tktzp,95,26Mi,1702970433,136.8180401,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702970454,136.9005556,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702970476,131.0257097,,,,
frontend-767bb5b6b6-tktzp,78,26Mi,1702970498,130.9983406,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702970520,110.7300514,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702970542,110.9047567,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702970564,102.6941153,,,,
frontend-767bb5b6b6-tktzp,73,26Mi,1702970586,104.3041153,,,,
frontend-767bb5b6b6-tktzp,76,26Mi,1702970608,106.0625038,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702970630,106.3418826,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702970652,107.3768239,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702970674,105.2539803,,,,
frontend-767bb5b6b6-tktzp,96,26Mi,1702970696,101.304011,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702970717,112.1982785,,,,
frontend-767bb5b6b6-tktzp,98,26Mi,1702970739,111.2739231,,,,
frontend-767bb5b6b6-tktzp,91,26Mi,1702970761,118.7603247,,,,
frontend-767bb5b6b6-tktzp,89,26Mi,1702970783,119.7547023,,,,
frontend-767bb5b6b6-tktzp,112,26Mi,1702970805,118.3731192,,,,
frontend-767bb5b6b6-tktzp,74,26Mi,1702970827,132.29419,,,,
frontend-767bb5b6b6-tktzp,95,25Mi,1702970849,135.2028791,,,,
frontend-767bb5b6b6-tktzp,101,26Mi,1702970871,134.0635941,,,,
frontend-767bb5b6b6-tktzp,97,26Mi,1702970893,137.4011266,,,,
frontend-767bb5b6b6-tktzp,88,26Mi,1702970915,138.6528791,,,,
frontend-767bb5b6b6-tktzp,95,26Mi,1702970937,126.4697159,,,,
frontend-767bb5b6b6-tktzp,87,26Mi,1702970959,119.1728015,,,,
frontend-767bb5b6b6-tktzp,94,26Mi,1702970981,119.9487611,,,,
frontend-767bb5b6b6-tktzp,99,26Mi,1702971003,115.1607393,,,,
frontend-767bb5b6b6-tktzp,95,26Mi,1702971024,116.8374441,,,,
frontend-767bb5b6b6-tktzp,95,26Mi,1702971046,117.0670508,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702971068,117.0670508,,,,
frontend-767bb5b6b6-tktzp,86,26Mi,1702971090,118.28977,,,,
frontend-767bb5b6b6-tktzp,89,26Mi,1702971112,118.4813249,,,,
frontend-767bb5b6b6-tktzp,79,26Mi,1702971134,113.3659009,,,,
frontend-767bb5b6b6-tktzp,83,26Mi,1702971156,111.8505611,,,,
frontend-767bb5b6b6-tktzp,94,26Mi,1702971178,104.702094,,,,
frontend-767bb5b6b6-tktzp,77,26Mi,1702971200,110.8937749,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702971222,111.5773551,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702971244,109.4468239,,,,
frontend-767bb5b6b6-tktzp,82,26Mi,1702971266,109.6239803,,,,
frontend-767bb5b6b6-tktzp,77,26Mi,1702971287,109.544653,,,,
