Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5490,0,6,29.63278925318771,1.1867999999992662,367.7218,8688.0,288.81295687343544,0.0,6,8,12,39,93,180,250,290,340,370,370
,Aggregated,5490,0,6,29.63278925318771,1.1867999999992662,367.7218,8688.0,288.81295687343544,0.0,6,8,12,39,93,180,250,290,340,370,370
